Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Australia,AU,1,2,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,311000000,335650634349,25757,IN,"Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music.  For over thirty years, we’ve been more than a label. We’ve been listeners archeologists of emotion, digging in every corner of India, collecting stories and music in all forms told in all Indian languages.   And we believe that the language of the heart"
Australia,AU,2,10,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,83300000,27176655244,2984,Unknown,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.
Australia,AU,3,13,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,80400000,44459636885,3053,KR,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR, YX LABELS, HYBE x Geffen Records and more."
Australia,AU,4,19,UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,61300000,32881917240,10570,IN,"The proud history of Saregama (an RPSG group company) stretches back over a century to 1901. Formerly known as The Gramophone Company of India Ltd. and more popularly as HMV (His Master's Voice), Saregama was established as the first overseas Indian Branch of Electrical & Musical Industries Limited (EMI), London. From producing the first song recorded in India in 1902 by the star of yesteryears, G"
Australia,AU,5,21,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,55200000,10521931307,170,US,New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!  MrBeast Gaming - SUBSCRIBE OR ELSE
Australia,AU,6,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Australia,AU,7,34,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,33600000,33285907184,4677,Unknown,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.
Australia,AU,8,35,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,33100000,11012070711,8930,US,"omw to the grand line 🏴‍☠️   About Netflix: Netflix is one of the world’s leading entertainment services offering TV series, films, games and live programming across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. "
Australia,AU,9,37,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,31800000,26799490243,2707,Unknown,"JYPnation Official YouTube  Leader In Entertainment is the value and goal that JYP Entertainment constantly pursues. JYP Entertainment strives to become the leading company of the global entertainment industry.  Founded by Asia's renowned producer Jin Young Park, the company has developed successful global artists, including god, Rain, Wonder Girls, 2PM, 2AM, miss A, GOT7, TWICE, Stray Kids, ITZY,"
Australia,AU,10,38,UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31200000,17561205184,5307,IE,"I play videogames but I also make other content like Try not to laugh, reacting to tik toks, meme review and IRL content. A lot of people come to my channel for long let's plays, especially for Sony Exclusive games from Playstation."
