Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Canada,CA,1,2,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,311000000,335650634349,25757,IN,"Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music.  For over thirty years, we’ve been more than a label. We’ve been listeners archeologists of emotion, digging in every corner of India, collecting stories and music in all forms told in all Indian languages.   And we believe that the language of the heart"
Canada,CA,2,10,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,83300000,27176655244,2984,Unknown,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.
Canada,CA,3,28,UCSf0s2ogUVYpJPuzW1zpAOg,LankyBox,42000000,39162043585,10211,US,"LankyBox includes Foxy, Boxy, Ghosty, Rocky, Thicc Shark & MORE! You will see crazy gaming videos, insane animations, and lots more! "
Canada,CA,4,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Canada,CA,5,34,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,33600000,33285907184,4677,Unknown,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.
Canada,CA,6,42,UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,26000000,16859074352,2221,US,Official Vanoss Gaming YouTube Channel.
Canada,CA,7,44,UCke6I9N4KfC968-yRcd5YRg,SSundee,25300000,17005552696,3693,US,Welcome to my channel!  I upload a lot of funny Minecraft and Roblox Videos! I also upload random games. lol I yell a lot.  I also play random games from time to time.  -SSundee
Canada,CA,8,60,UCLbdVvreihwZRL6kwuEUYsA,Think Music India,22200000,21843228813,6914,IN,About Think Music - Official Channel  The official YouTube channel of Think Music.   
Canada,CA,9,63,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,21300000,20729278314,5420,IN,"Sony Music South – Official Channel 🎶 Welcome to the official YouTube home of Sony Music Entertainment India, your one-stop destination for the latest and greatest music videos in Tamil, Telugu, and Kannada! From heartwarming love songs to electrifying kuthu beats, we bring you the most popular hits, new releases, and evergreen favorites from South India’s vibrant music scene. Whether you're vibin"
Canada,CA,10,68,UCKy1dAqELo0zrOtPkf0eTMw,IGN,19800000,21190494351,179232,US,"IGN brings you daily videos about the latest gaming and entertainment news and up to the minute events coverage.  Subscribe to IGN’s YouTube channel for video games, tech, TV, movie news, reviews, exclusive previews, and home-brewed shows like Devs React to Speedruns and IGN Inside Stories.  Daily Fix - Gaming and entertainment news every Monday through Friday. IGN First - Exclusive coverage of up"
Canada,CA,11,89,UCxsk7hqE_CwZWGEJEkGanbA,KreekCraft,16700000,7088178326,6838,US,SUBSCRIBE IF YOU PLAY ROBLOX!
Canada,CA,12,93,UCi8e0iOVk1fEOogdfu4YgfA,Rotten Tomatoes Trailers,16100000,13896114211,13100,US,"Rotten Tomatoes TRAILERS delivers hot new trailers, exclusive content, and first looks for all the best upcoming movies. Subscribe to be the first to see everything coming to theaters and your favorite streaming platforms - all in one place!   We invite you to join the conversation on YouTube or leave a review on RottenTomatoes.com, but please read our Community Guidelines so that the discussion c"
Canada,CA,13,97,UC5H_KXkPbEsGs0tFt8R35mA,Martin Garrix,15200000,7275834837,514,US,"Multi-platinum-selling, chart-topping Dutch DJ and producer Martin Garrix is one of the most successful artists to break into the pop and electronic music scenes. Since his breakout hit ""Animals"" in 2013 at just 17 years old, Garrix has headlined festivals globally and collaborated with top stars including Dua Lipa, Bono, The Edge, Macklemore, and Khalid. Known for his high-energy performances and"
Canada,CA,14,103,UCm-X6o81nRsXQTmqpyArkBQ,Flamingo,14400000,12436657326,2790,US,The Most Botted Channel EVER 
Canada,CA,15,120,UCs6eXM7s8Vl5WcECcRHc2qQ,Kanye West,12300000,9514227695,41,US,BULLY BY YE OUT NOW STREAM HERE: https://yzy.lnk.to/BULLY  
Canada,CA,16,129,UC_F8DoJf9MZogEOU51TpTbQ,Clash Royale,11700000,2694248553,870,Unknown,"Clash Royale is a real-time, head-to-head battle game set in the Clash Universe. Welcome to the Arena!"
Canada,CA,17,142,UC0eLBYhxW9HC0P9PXQ73mpQ,Cash,10700000,3250630772,1406,US,I love to play Minecraft with my friend Nico! 
Canada,CA,18,145,UC_q5WZtFp36adwqhKpZzxwQ,SypherPK,10600000,7064813524,3482,US,Hey everyone! I’m Sypher and I make gaming videos :)  Socials:  - Watch me live at: http://www.twitch.tv/sypherpk   - Twitter: http://www.twitter.com/sypherpk   - Instagram: https://www.instagram.com/sypherpk  - Facebook: https://facebook.com/SypherPK  - Discord: https://discord.gg/SypherPK -----------------------------------------------------------  Want to be part of my YouTube editing team? App
Canada,CA,19,146,UCRkuUgtDAL4XSU5jB40J_wA,Foltyn,10400000,3439808366,1808,Unknown,I just wanna make people smile   
Canada,CA,20,150,UC63anZxfVGHUEmfBAf5w7pw,CaseOh,10000000,2094381381,2252,US,Streamer on Twitch - caseoh_  
Canada,CA,21,158,UCsPMNatXCwqyUuJilBT73jg,CaylusBlox,9700000,3015217329,840,US,i play roblox here subscribe and join the CAYLUS KINGDOM 
Canada,CA,22,166,UCDBCCMlFD-hArPbWv38FINA,Daz Games,9440000,3246199844,1728,GB,"Welcome to the official channel of Daz Games! Here you’ll find all my Try Not To Laugh Challenge, Sketch and Reaction videos where you’ll enjoy my responses to videos from Jacob Sartorius, Musical.ly and everything else on the internet you hold so dearly. I like to do commentary walkthroughs and playthroughs of games like Sims, Uncharted 4, GTA V, Minecraft and many other games. New gaming videos "
Canada,CA,23,172,UCvICJHzZEwb_9ckAMohAqzw,Lana's Life,8930000,9215212350,3346,US,"💗 If You LOVE ROBLOX Content, Make Sure To Subscribe!  💗YT Shorts Posted Daily & Long Form Videos Posted Weekly!"
Canada,CA,24,178,UCNvzD7Z-g64bPXxGzaQaa4g,gameranx,8570000,4400317754,4662,US,"We make videos about video games. Enjoy our Top 10s, the Friday news show, Before You Buy reviews and first impressions, and more."
Canada,CA,25,179,UCzEy7pi3B7TIS9cn_sdKK9A,GrayStillPlays,8530000,5161736974,4291,US,I make bad choices in games and cause pixel people to become sad.  All brand and sponsorship opportunities: graystillplays@gmail.com Manager Paragon Hex: paragonhex.business@gmail.com --------------------------------------------------------------------------------------------------------------- Channel art by: http://themoski.tumblr.com/ TJFX22
Canada,CA,26,181,UCzXwjTI6c6mVn6oui_p6oiw,SMii7Y,8490000,3496413366,1386,CA,"Pronounced ""Smitty"" -  Gameplay, Funny Moments, Hilarity & More!  Use code S7 on Gamer Supps for 10% OFF your order! https://gamersupps.gg/s7 "
Canada,CA,27,182,UC6pGDc4bFGD1_36IKv3FnYg,Crunchyroll,8490000,10513564195,387838,US,"Crunchyroll brings you clips, anime openings, anime endings, trailers, teasers, and full episodes every week from the best titles anime has to offer!  "
Canada,CA,28,184,UCJ2ZDzMRgSrxmwphstrm8Ww,Smosh Games,8460000,3950478848,4206,US,"Video games, board games and more! New videos every Wednesday, Friday, and Sunday."
