Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Switzerland,CH,1,9,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,100000000,41756433903,666,KR,"BLACKPINK Official YouTube Channel 블랙핑크 공식 유튜브 채널입니다.  JISOO, JENNIE, ROSÉ, LISA 지수, 제니, 로제, 리사"
Switzerland,CH,2,13,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,80400000,44459636885,3053,KR,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR, YX LABELS, HYBE x Geffen Records and more."
Switzerland,CH,3,21,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,55200000,10521931307,170,US,New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!  MrBeast Gaming - SUBSCRIBE OR ELSE
Switzerland,CH,4,22,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,51700000,7517476054,1821,US,Thank God👏🏽🙏🏽
Switzerland,CH,5,26,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,43300000,25113856444,120,Unknown,"Bruno Mars is a 16x GRAMMY®-winning global superstar, singer, songwriter, multi-instrumentalist, producer, and one of the most-streamed artists in the world. Known for his showmanship and chart-toppers, Bruno has set a number of records throughout his career, including becoming the first artist ever to hit 150 million monthly listeners on Spotify, appearing on two of the fastest songs to reach one"
Switzerland,CH,6,30,UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna,38100000,28574584707,290,PR,"This is the official YouTube Channel of OZUNA. Singer, songwriter and actor from Puerto Rico and the Dominican Republic. Hits include ""Dile Que Tu Me Quiere ""Se Preparo"" ""El Farsante"" ""Vaina Loca"" ""Unica"" and ""Taki Taki"". In 2018 OZUNA was the #1 YouTube channel globally on the platform. He currently holds the Guinness Award record for Artist with the most videos to reach one billion views on YouT"
Switzerland,CH,7,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Switzerland,CH,8,35,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,33100000,11012070711,8930,US,"omw to the grand line 🏴‍☠️   About Netflix: Netflix is one of the world’s leading entertainment services offering TV series, films, games and live programming across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. "
Switzerland,CH,9,52,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,24000000,4432860037,405,FI,Fast-paced 3v3 multiplayer and battle royale made for mobile! 🔥   Play with friends or solo across a variety of game modes in under three minutes. 
Switzerland,CH,10,55,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,23400000,11032918200,2009,Unknown,Stray Kids Official YouTube
Switzerland,CH,11,60,UCLbdVvreihwZRL6kwuEUYsA,Think Music India,22200000,21843228813,6914,IN,About Think Music - Official Channel  The official YouTube channel of Think Music.   
Switzerland,CH,12,70,UCn_FAXem2-e3HQvmK-mOH4g,GLITCH,19500000,2778281252,230,AU,"Here you'll find fun, colourful animated shows with occasional violence and existential breakdowns :D"
