Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Germany,DE,1,2,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,311000000,335650634349,25757,IN,"Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music.  For over thirty years, we’ve been more than a label. We’ve been listeners archeologists of emotion, digging in every corner of India, collecting stories and music in all forms told in all Indian languages.   And we believe that the language of the heart"
Germany,DE,2,10,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,83300000,27176655244,2984,Unknown,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.
Germany,DE,3,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Germany,DE,4,34,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,33600000,33285907184,4677,Unknown,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.
Germany,DE,5,79,UC0cWWruNMb95iCBEOzPnjRA,Компот,17300000,11110746980,3197,AE,"Привет, друзья! Я Рома, а это мой канал на YouTube. Тут каждый день выходят видео по игре Minecraft! Оставайся со мной, ведь я всегда в сети ;)  Все права защищены. Никакая часть контента не может быть воспроизведена в какой-либо форме без письменного разрешения правообладателя, за исключением использования в информационных, научных, учебных или культурных целях. Персонаж охраняется товарным знако"
Germany,DE,6,81,UCrpt82vHWIWZSHtNQxncPrg,EdisonPts,17200000,8763917706,4501,RU,Информация обо мне: ► Мой ТЕЛЕГРАМ: https://t.me/edisonfamilia ► Второй канал: https://www.youtube.com/eduardperets  По поводу рекламы и сотрудничества писать на ПОЧТУ: 🡆 Почта: edison@wildjam.ru  Регистрация в перечне РКН: https://vk.cc/cHlrYl 
Germany,DE,7,120,UCs6eXM7s8Vl5WcECcRHc2qQ,Kanye West,12300000,9514227695,41,US,BULLY BY YE OUT NOW STREAM HERE: https://yzy.lnk.to/BULLY  
Germany,DE,8,126,UCYSrT9w_V_5wpEahYXTeXUw,JP Plays,11800000,5076038590,4364,BR,"JP e MCFly vivem todos os dias novas aventuras, sempre com boas risadas !  Contato comercial: contatojpplaysoficial@gmail.com   "
Germany,DE,9,129,UC_F8DoJf9MZogEOU51TpTbQ,Clash Royale,11700000,2694248553,870,Unknown,"Clash Royale is a real-time, head-to-head battle game set in the Clash Universe. Welcome to the Arena!"
Germany,DE,10,133,UCAvrIl6ltV8MdJo3mV4Nl4Q,MrLololoshka (Роман Фильченков),11300000,5510275214,4232,US,"Меня зовут Роман, подпишись! Канал весёлый и интересный! Видео по модам, летсплеям для Minecraft. Иногда могут быть видео по хоррор играм. Улё  5605344252  • По рекламе — lololoshkawork@gmail.com   "
Germany,DE,11,146,UCRkuUgtDAL4XSU5jB40J_wA,Foltyn,10400000,3439808366,1808,Unknown,I just wanna make people smile   
Germany,DE,12,150,UC63anZxfVGHUEmfBAf5w7pw,CaseOh,10000000,2094381381,2252,US,Streamer on Twitch - caseoh_  
Germany,DE,13,181,UCzXwjTI6c6mVn6oui_p6oiw,SMii7Y,8490000,3496413366,1386,CA,"Pronounced ""Smitty"" -  Gameplay, Funny Moments, Hilarity & More!  Use code S7 on Gamer Supps for 10% OFF your order! https://gamersupps.gg/s7 "
Germany,DE,14,222,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,7300000,4792787804,3078,US,The Internet's Chess Teacher
Germany,DE,15,239,UCV_CsAy5CNBX_uwDQ7RMe1Q,Central Cee,6700000,2440189843,92,GB,Central Cee - Official youtube channel. Subscribe
Germany,DE,16,261,UC7c8wbA9yQjzxkj2uyrHrkg,steak,6240000,2132806169,2807,US,"live everyday 4pm & 9:30 EST 😜  i just like having fun dont take me seriously pls   SEND ME STUFF:  P.O BOX 171002 Salt Lake City, UT, 84117 "
Germany,DE,17,270,UCdd2rozVKNHZg9oTeY_X7WQ,Виндяй,6050000,2054385961,1385,RU,"Заявление в роскомнадзор отправлено: №6369576983 О рекламе или предложениях сотрудничества пишите на почту - windyreactions31@gmail.com  Хочешь посмотреть веселые видео или тест на психику не смейся челлендж? Тогда ты пришел по правильному адресу! На этом канале можно найти много блогов и других интересных видео, в том числе, конечно и тест на психику не смейся челлендж. Попробуй не засмеятся на э"
Germany,DE,18,291,UCOZsMcbEwVbEIKW4nMNTIVA,Kitt Gaming,5630000,994291655,977,US,We play Blox Fruits And Grow A Garden!! so Follow US!  #bloxfruits #kittgaming #roblox  
Germany,DE,19,315,UCiifkYAs_bq1pt_zbNAzYGg,DC,5100000,2264543674,4069,US,"Welcome to DC, the official home of Superman, Batman, Wonder Woman, Green Lantern, The Flash and the rest of The World's Greatest Super Heroes! "
Germany,DE,20,322,UCYJ61XIK64sp6ZFFS8sctxw,Gronkh,5040000,4059906522,18090,Unknown,"★ ★ ★ KLICK MICH HART, DU SAU! :D ★ ★ ★ Zart im Schmelz und süffig im Abgang. Ungebremster Spieltrieb seit 1896. Tägliche Folgen (mit Nebenkanälen) nonstop seit dem 01.04.2010!  ★ Offizieller Discord: http://gronkh.chat  ★ Livestream jeden Freitag ab 18 Uhr: http://gronkh.live  ★ Stream-Archiv: http://gronkh.tv  ______________________________________________________________________________________"
Germany,DE,21,340,UC2uQvUg3YYzoOtj1yZLT0Ow,FoltynPlays,4820000,868517153,1113,Unknown,I Like To Make People Smile :)  For Business Inquires: foltyn@ellify.com 
Germany,DE,22,355,UCSYOvRiB12CnApfSC_GeFXg,• Gerand •,4690000,3133137496,1253,RU,"Добро пожаловать на канал Gerand. Gerand - Герой Рандома. Мультсериал про танки - фантастический, военно-исторический мультфильм. Если вам понравилось видео, не поленитесь поставить лайк, а также буду благодарен за подписку на мой канал! Удачи. :-)  Задать вопрос: gerandtv@mail.ru  Реклама: gerand@adisom.net  Поддержать: http://www.donationalerts.ru/r/gerandtv Instagram Gerand: https://www.instagr"
Germany,DE,23,370,UCQeRaTukNYft1_6AZPACnog,Asmongold TV  ,4480000,5110759399,6917,US,"The official Asmongold channel for all of his stream content (Highlights, Competitions, Reactions & More). Asmongold TV is owned by Asmongold and run by Daily Dose of Asmongold and CatDany, with the main goal of bringing you the best moments from the stream."
Germany,DE,24,378,UCRHXUZ0BxbkU2MYZgsuFgkQ,The Spiffing Brit,4410000,1067947871,763,GB,Hey all welcome to the channel  HAVE A BUSINESS ENQUIRY? Email Here: thespiffingbusiness@gmail.com  Content is mostly strategy games or classical games with many exploits Name: Tom *Will accept being called Brit or spiffing Location: UK Occupation: Drinking Tea  Content Shown on the channel is created thanks to the full Spiffing Brit Team:  M4NG0 - Editor Manager/ Video Review Connorbrow - Communi
Germany,DE,25,401,UCaR5mgH9aZkswPQtjZ4DktA,iCrimax,4190000,2750402101,4185,DE,"Hallo mein Name ist Max! Jeden Tag neue Videos und Streams! GTA 5, Minecraft & vieles mehr! 🤍  iCrimax Representatives: ------------------------ WhiteCast GmbH (Dejan Mihajlovic) https://www.whitecast.de/for-brands/icrimax/ icrimax@whitecast.de  &  Water GmbH (Jakob Rogalski) https://water.koeln/icrimax/ icrimax@water.koeln  PAULBERGER Brand Management & Marketing: Water GmbH (Jakob Rogalski) http"
Germany,DE,26,441,UCQ_hHJ0uTbzFLHrk1XHGXtw,Standart Skill,3770000,2286609171,4516,DE,"Jeden Tag NEUE Videos!    Geschäftsanfragen rund um PAULBERGER: mail@paulberger.club  (Water GmbH, Jakob Rogalski)  Angaben gemäß § 5 TMG: WhiteCast GmbH c/o Philip Geißler - StandartSkill Bahnhofstraße 6 88048 Friedrichshafen https://www.whitecast.de/for-brands/standartskill  Vertreten durch: Dejan Mihajlovic  Kontakt: Telefon: 07545 96970 - 00 Telefax: 07545 96970 – 11 E-Mail: info@whitecast.de "
Germany,DE,27,470,UCiVJZlfcmWMUiXv5oywnDhQ,Wifies,3440000,313488621,541,US,I think it's pronounced wee-fees but I really have no idea  
Germany,DE,28,509,UCbXZYanZEfJ1xzwFcBOGm3Q,AviveHD,3180000,1405570206,3345,DE,Hey! Auf meinem Kanal findet ihr lustige Gaming & Comedy Videos! Viel Spaß auf meinem Kanal  🎮   Impressum: Verantwortlich im Sinne des § 5 TMG ist:  Lucas Michels c/o Water GmbH Adolf-Silverberg-Str. 37a 50181 Bedburg  Kontakt: Telefon: 015758776921 E-Mail: info@avivehd.de  Umsatzsteuer-Identifikationsnummer gemäß §27 a Umsatzsteuergesetz: DE333486719 Die Europäische Kommission stellt eine Plattf
