Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
France,FR,1,10,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,83300000,27176655244,2984,Unknown,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.
France,FR,2,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
France,FR,3,34,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,33600000,33285907184,4677,Unknown,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.
France,FR,4,36,UCNqFDjYTexJDET3rPDrmJKg,7clouds,32100000,29169970048,3346,US,"​7clouds is a record label and music curation brand on YouTube - a haven for music lovers with a family of over 25 million subscribers! We bring to you the freshest pop and electronic melodies, paired beautifully with lyric videos set against mesmerizing sky visuals. Curious? Dive into 7clouds on YouTube and let the music take you on a cloud-bound journey.  ☁️  7clouds: Where every beat touches th"
France,FR,5,63,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,21300000,20729278314,5420,IN,"Sony Music South – Official Channel 🎶 Welcome to the official YouTube home of Sony Music Entertainment India, your one-stop destination for the latest and greatest music videos in Tamil, Telugu, and Kannada! From heartwarming love songs to electrifying kuthu beats, we bring you the most popular hits, new releases, and evergreen favorites from South India’s vibrant music scene. Whether you're vibin"
France,FR,6,91,UCJCj2HtcnbOyCj1rmKaxwJg,Mohamed Ramadan I محمد رمضان,16200000,6290817452,893,EG,"Mohamad Ramadan is an actor, singer and performer from Cairo. He came to prominence acting in Egyptian television shows and films before embarking on a rap career in 2018 by signing to Rotana. Ramadan’s success in music and acting has made him a regional star that is attracting attention abroad as well.  In 2019, he was given the AFRIMA award and crowned the most popular artist in Africa. His stre"
France,FR,7,120,UCs6eXM7s8Vl5WcECcRHc2qQ,Kanye West,12300000,9514227695,41,US,BULLY BY YE OUT NOW STREAM HERE: https://yzy.lnk.to/BULLY  
France,FR,8,126,UCYSrT9w_V_5wpEahYXTeXUw,JP Plays,11800000,5076038590,4364,BR,"JP e MCFly vivem todos os dias novas aventuras, sempre com boas risadas !  Contato comercial: contatojpplaysoficial@gmail.com   "
France,FR,9,129,UC_F8DoJf9MZogEOU51TpTbQ,Clash Royale,11700000,2694248553,870,Unknown,"Clash Royale is a real-time, head-to-head battle game set in the Clash Universe. Welcome to the Arena!"
France,FR,10,139,UCLMKLU-ZuDQIsbjMvR3bbog,Furious Jumper,10800000,6931835075,7468,FR, 
France,FR,11,181,UCzXwjTI6c6mVn6oui_p6oiw,SMii7Y,8490000,3496413366,1386,CA,"Pronounced ""Smitty"" -  Gameplay, Funny Moments, Hilarity & More!  Use code S7 on Gamer Supps for 10% OFF your order! https://gamersupps.gg/s7 "
France,FR,12,230,UCiFyJ_EBmF2XJuR9buWE_3A,Unchained_Off,7040000,3833904091,1729,FR,CLICK ICI : MA CHAINE IRL 👇
France,FR,13,239,UCV_CsAy5CNBX_uwDQ7RMe1Q,Central Cee,6700000,2440189843,92,GB,Central Cee - Official youtube channel. Subscribe
France,FR,14,315,UCiifkYAs_bq1pt_zbNAzYGg,DC,5100000,2264543674,4069,US,"Welcome to DC, the official home of Superman, Batman, Wonder Woman, Green Lantern, The Flash and the rest of The World's Greatest Super Heroes! "
France,FR,15,317,UCY-_QmcW09PHAImgVnKxU2g,SQUEEZIE GAMING,5070000,2754965030,1779,FR,"En live sur ma chaîne Twitch chaque Mercredi de 20h à 00h, et au moins 2 best-of chaque semaine !"
France,FR,16,329,UC_i8X3p8oZNaik8X513Zn1Q,FilmsActu,4950000,3588595040,13056,FR,FilmsActu : le meilleur coin à champignons pour mater toutes les bandes annonces des films à venir !   
France,FR,17,350,UCa2Nr1Qm93k07VuwEXCnrog,Pizza Music,4750000,3592965023,1598,ES,Welcome to Pizza Music - your global destination for mesmerizing lyric videos.  Discover the artistry of music and lyrics intertwined in captivating visuals. Join our community of music enthusiasts worldwide and embark on an unforgettable audio-visual journey.  Subscribe now: https://www.youtube.com/@pizzamusic6344  Pizza Music - Where Words and Music Unite   
France,FR,18,370,UCQeRaTukNYft1_6AZPACnog,Asmongold TV  ,4480000,5110759399,6917,US,"The official Asmongold channel for all of his stream content (Highlights, Competitions, Reactions & More). Asmongold TV is owned by Asmongold and run by Daily Dose of Asmongold and CatDany, with the main goal of bringing you the best moments from the stream."
France,FR,19,379,UCNtD7oDVld6YeaYV7tCXo1A,B20baOfficiel,4410000,3118252216,183,Unknown,"Chaine officielle de BOOBA. Nouvel album Ad Vitam Æternam  disponible Trône, et aussi Nero Nemesis, Panthéon, Ouest Side, 0.9, Lunatic, Futur, Futur 2.0 et D.U.C"
France,FR,20,383,UCCFqUJYKT97UerMmb6DM0bw,GOTAGA,4390000,1268458381,2108,FR,"Ancien joueur pro sur Call of Duty, j'ai longtemps été le joueur français le plus titré sur console. Co-créateur de Gentle Mates.  ► Contact : contact@gotaga.tv"
