Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Indonesia,ID,1,10,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,83300000,27176655244,2984,Unknown,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.
Indonesia,ID,2,21,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,55200000,10521931307,170,US,New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!  MrBeast Gaming - SUBSCRIBE OR ELSE
Indonesia,ID,3,25,UC4hGmH5sABOA70D4fGb8qNQ,Frost Diamond,46600000,14198506934,4571,ID,"Welcome Back Guys, My Name Is Frost  Disini Adalah Chanel Video Gaming, Vlog, Dll  Tapi Lebih fokus ke gaming   Jangan Lupa Tinggalin Like dan komentar Dan jangan lupa juga share, Subscribe GRATIS!!! Karna Disini saya akan Update'' Video, Jangan sampai ketinggalan, makanya SUBSCRIBE!!!  Frost"
Indonesia,ID,4,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Indonesia,ID,5,34,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,33600000,33285907184,4677,Unknown,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.
Indonesia,ID,6,37,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,31800000,26799490243,2707,Unknown,"JYPnation Official YouTube  Leader In Entertainment is the value and goal that JYP Entertainment constantly pursues. JYP Entertainment strives to become the leading company of the global entertainment industry.  Founded by Asia's renowned producer Jin Young Park, the company has developed successful global artists, including god, Rain, Wonder Girls, 2PM, 2AM, miss A, GOT7, TWICE, Stray Kids, ITZY,"
Indonesia,ID,7,45,UC3J4Q1grz46bdJ7NJLd4DGw,MiawAug,25300000,8238624650,4752,ID,"Disini Kita Akan Seru Seruan bermain game PC, Mobile, dan Console Hehe  MiawAug's from sound of cat and dog hahaha, i like animal, and i like playing game and i'm a gamer from indonesia ^o^ check out my video while i'm gaming some games, and don't forget to subscribe.  I hope you guys will enjoy my gameplay of some games :), Be a Milovers and it's make me more happy :)  if like more ??? follow and"
Indonesia,ID,8,71,UCoIiiHof6BJ85PLuLkuxuhw,Windah Basudara,19300000,5265570095,6025,ID,"Join Server GTA ku IME Roleplay, Topup terbaik cuma di Ourastore! Link di bawah "
Indonesia,ID,9,94,UC6P6SvP2arhEdJ9Pg8qwP2A,Athos,15900000,9501469972,3793,BR,🔴 VÍDEOS NOVOS TODOS DIAS 10:30 DA MANHÃ 🔴  Acesse nossa Loja Oficial: lojadoathos.com  📧 Email comercial: ads@playathos.com 
Indonesia,ID,10,192,UCirWugW5e03u3DUGA87s58A,Oura,8240000,2611760059,4977,ID,
Indonesia,ID,11,198,UCmB1_agPlXbbwTCPKEuwEKA,Aneka Safari Records,8180000,3896181840,2762,ID,"Official Channel Aneka Safari Records.  Aneka Safari Records is recording company, also music publisher based in Banyuwangi, East Java. Our artists include Niken Salindry, Shinta Arshinta, Yeni Inka, Farel Prayoga, Esa Risty, Vita Alvia, Happy Asmara, Safira Inema, Lutffiana Dewi, Suci Tacik, Dini Kurnia, Arlida Putri, Lili Amora, Demy, Suliyana, Catur Arum, Via Vallen, Nella Kharisma, Reny Farida"
Indonesia,ID,12,202,UCHb7bDmZ5AQJFQrGPntk3fg,Teguh Sugianto,7970000,3591553413,3684,ID,Berbagi Like untuk Sukacita  Facebook : Teguh Sugianto Instagram: teguhsugianto_yt 
Indonesia,ID,13,216,UC1dGHGJTXU_dkiR8tW3qQgg,MPL Indonesia,7530000,3524949534,9522,Unknown,"THE ONE AND ONLY OFFICIAL YOUTUBE CHANNEL OF MPL INDONESIA.  Nantikan terus updates dan seru-seruan bareng di akun media sosial resmi MPL Indonesia. Jangan lupa difollow, ya!"
Indonesia,ID,14,223,UCGGwuSrxDFQymf66OdM_-pw,AKUDAV,7250000,2961975291,1710,ID,"Konsisten adalah kunci 🗝️  SUBSCRIBE : You're A Davengers Now.  AKUDAV bisa panggil aku dav  Jangan Lupa Subscribe, Share & Likes  thanks for 🔥100 Subscriber : 2 Agu 2020 🔥1000 Subscriber : 4 Sep 2020 🔥10000 Subscriber : 17 Jan 2021 🔥100000 Subscriber : 7 April 2021 🔥1000000 Subscriber : 15 Maret 2022  Untuk Upload Dan Live Belum Ada Jadwal Pasti :D Jadi Jangan lupa nyalahkan notif ya biar mendapa"
Indonesia,ID,15,224,UC50LmJxoKQGpeA2e-0JCY7g,BeaconCream,7190000,3358941518,3814,ID,"Hai Kawan! Aku BeaconCream!  Beacon itu mercusuar, Cream itu yaaa krim... Kenapa? ya kedengeran enak aja...  BTW aku main game di channel ini."
Indonesia,ID,16,229,UC_rsMKPp_iGAXtblQ-KEXNQ,MARKOCOP,7110000,1149530598,2614,ID,SEREPET
Indonesia,ID,17,233,UCmtAg_U0wvmWdxTlceISdEw,Jonathan Liandi,6890000,2934655832,4684,ID,For business inquiries: teamjonathanliandi@gmail.com
Indonesia,ID,18,251,UCpxxQUGNgkns9i3EhLEHoQg,Obit,6370000,2915015734,2498,ID,"Hallo Teman-Teman Aku OBIT anjing ajaib, Aku Ingin Mencoba Semua Game!!!"
Indonesia,ID,19,266,UCCuzDCoI3EUOo_nhCj4noSw,yb,6080000,941568045,800,ID,BE THE YBBABY GANG! https://www.youtube.com/channel/UCCuz...  TOP UP YOUR FAV GAMES IN MY SHOP! https://www.instagram.com/ybgamecorner/  LOOKIN' FOR A GOOD STUFF OR WANT TO SELL YOUR GOOD ONES?? https://www.instagram.com/ybconsignment/  DONATE HERE! https://saweria.co/donate/yb https://streamlabs.com/ybrap/  _YB Channel _A Newbie YouTuber Prolly Need Some Guide  THIS CHANNEL CONTAINS: Live Stream 
Indonesia,ID,20,287,UCkdFTsMOvJkUe41dCNvWhIg,Stresmen,5670000,3204913754,3403,ID,Email : hanif.moeslim6@gmail.com  Letsgo cilll 
Indonesia,ID,21,307,UCP3J77MiNCYxhRnfHmeWk7Q,Henny Adella,5240000,4299828225,1407,ID,"Henny Adella adalah Label Musik dan Manajemen Artis yang bergerak dalam industri musik dangdut dengan penampilan khas dan karya yang selalu spesial. Subscribe YouTube Henny Adella sekarang! Dan nikmati semua penampilan terbaik dari Artis kami! Jangan lupa like, share dan komen! Terima kasih. "
Indonesia,ID,22,309,UClfw7Mx0Vmh4hDAT0STSohw,BANGJBLOX,5220000,2538762968,2581,ID,"Hallo Teman2,   Nama aku BANGJBLOX kalian bisa panggil aku Bang J atau aku sering jadi Atun kalau aku peranin anak kecil...  Instagram aku : @andi_jblox Tiktok aku : @bangjblox.tiktok Bussiness : Jblox.Official@gmail.com  Didalam Channel ini aku lebih fokus dalam bermain Role Play.. Yah Kadang2 aku sisipin game lain.. Tergantung request teman2 ya..  Nama Subscriber aku adalah JNATIONS  Aku Upload "
Indonesia,ID,23,312,UCEs5MQjXJq27-X2vgdwtYDw,Dagar,5150000,2110796253,611,ES,Me encanta jugar Minecraft con mi amigo Nacho
Indonesia,ID,24,336,UCbuK8xxu2P_sqoMnDsoBrrg,WaveMusic,4870000,2838728702,2574,US,"Your Home For The Best Pop & Electronic Music With Lyrics!  All new videos will be a 4k lyric video with closed captions (CC) and have lyrics in the description. This channel is dedicated to pop electronic, chill pop, melodic bass, and the chiller side of EDM and Pop! If I like it, I try my best to share it!    Track submissions for upload:  https://wavemusic.portal.district.biz/ Business Contact "
Indonesia,ID,25,338,UCTg0Ue7PAI8ep3_ITQMqQcA,R7 Tatsumaki,4860000,1131210340,4272,ID,Official Youtube of R7 Member Mobile Legends Division of RRQ Hoshi Keep Fighting !! Setiap hari upload jam 10 pagi/4 sore !! Jangan lupa aktifin loncengnya ya guys !! 
Indonesia,ID,26,342,UCDfcUKYZOjC0G-5uM0UwYTg,XINNN,4800000,1164357408,2908,ID,Instagram : @rrq_xinn  Live Setiap Hari Pastinya Dan Jangan Lupa Subscribe Dan Nyalain Notif !  
Indonesia,ID,27,346,UCf775rZ8zxw4AAZW6dndxWg,Pak GM,4790000,1004773118,4626,ID,"SUBSCRIBE KALAU KAMU CINTA ROBLOX  Perkenalkan aku Pak GM, channel-ku berisikan tentang games, vlog, prank dan livestream!  Follow Media Sosial aku ya guys! Instagram: @pakgm.id TikTok: @lordgm.id  Kalian bisa dukung aku di sini: - Saweria(Bisa via OVO, Go-pay, LinkAja, atau Dana): https://saweria.co/donate/pakgm ------------------- Email : pakgm.id@gmail.com "
Indonesia,ID,28,365,UC4AwCWdalD3fuePtoZj3Wew,ElestialHD,4550000,1350091763,1903,ID,"Halo semuanya ! Selamat datang di channel gw ! Umur gw 23 tahun, dan gw suka bikin video2 seru! Di dalam channel ini, gw bakal main game-game, vlogging, dan banyak keseruan lainnya!  TOP UP GAME MURAH DI WARUNG ELES!! - https://warungeles.com/  Support & Feedback is very appreciated!  ↓ More Information down below ↓  ---------------------------------------------------------------------------------"
Indonesia,ID,29,400,UC8SIGsM6pRTbjwrI8WmXq4A,VY Gaming,4190000,1129034514,4085,ID,"Welcome to my Channel , Here You can find all MOBA & BATTLE ROYALE gameplay builds,tips and update news .   Contact Us : Facebook : facebook.com/yang.yanx Email : vincenty4nx@gmail.com Instagram : @vygamingreal "
Indonesia,ID,30,407,UCYL0au6V77nHEhVP9kUMwlQ,Cougar macdowall Va,4110000,2475296275,4163,US,"Email: cougar0403@gmail.com  Hey guys I'm Cougar MacDowall, and I'm a professional voice actor, if you need my voice acting services please email me instead of leaving a comment or sending a pm since youtube is youtube I promise I don't bite, and I always love helping people out. Again email me if you want my help with voice over stuff!    Life goal complete finally apart of a Wiki page: http://an"
Indonesia,ID,31,422,UCM4m4jzE3UG1yQWJQH59gjA,Fanny Tjandra,3970000,1794176616,1581,ID,"Welcome para adek online! Kuy kita bersenang-senang bersama!  Kenalan yuk dengan follow sosmed aku! 🍑 Instagram: fannytjandra0121 🍑 Tiktok: fanny.tjandra dan fannytjandra.review 🍑 Channel keduaku: Fanny Tjandra TV 🍑 Zepeto: Fanny Tjandra (sylvette0121) 🍑 PK XD: Sylvette#000  🍑 Roblox: Sylvette0121  Aku tidak punya sosmed lain selain yang kusebut di atas ya, jadi jika ada yang mengaku sebagai aku d"
Indonesia,ID,32,423,UCE0laCY30f_ky80J0BxD3dA,3D Entertainment,3970000,1103541403,2195,ID,3D Entertainment adalah sub-label dari PT. Trinity Optima Production (TOP) yang menaungi artis-artis dengan genre musik Dangdut. Instagram: @3dent_id | Twitter: @3dent_id | Fanpage: 3D Entertainment
Indonesia,ID,33,430,UCPHY-A4eUbuDSTHw4mZBwbA,Meot,3880000,830567779,4318,ID,
