Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Italy,IT,1,10,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,83300000,27176655244,2984,Unknown,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.
Italy,IT,2,13,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,80400000,44459636885,3053,KR,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR, YX LABELS, HYBE x Geffen Records and more."
Italy,IT,3,21,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,55200000,10521931307,170,US,New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!  MrBeast Gaming - SUBSCRIBE OR ELSE
Italy,IT,4,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Italy,IT,5,34,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,33600000,33285907184,4677,Unknown,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.
Italy,IT,6,94,UC6P6SvP2arhEdJ9Pg8qwP2A,Athos,15900000,9501469972,3793,BR,🔴 VÍDEOS NOVOS TODOS DIAS 10:30 DA MANHÃ 🔴  Acesse nossa Loja Oficial: lojadoathos.com  📧 Email comercial: ads@playathos.com 
Italy,IT,7,97,UC5H_KXkPbEsGs0tFt8R35mA,Martin Garrix,15200000,7275834837,514,US,"Multi-platinum-selling, chart-topping Dutch DJ and producer Martin Garrix is one of the most successful artists to break into the pop and electronic music scenes. Since his breakout hit ""Animals"" in 2013 at just 17 years old, Garrix has headlined festivals globally and collaborated with top stars including Dua Lipa, Bono, The Edge, Macklemore, and Khalid. Known for his high-energy performances and"
Italy,IT,8,120,UCs6eXM7s8Vl5WcECcRHc2qQ,Kanye West,12300000,9514227695,41,US,BULLY BY YE OUT NOW STREAM HERE: https://yzy.lnk.to/BULLY  
Italy,IT,9,129,UC_F8DoJf9MZogEOU51TpTbQ,Clash Royale,11700000,2694248553,870,Unknown,"Clash Royale is a real-time, head-to-head battle game set in the Clash Universe. Welcome to the Arena!"
Italy,IT,10,151,UCdI8evszfZvyAl2UVCypkTA,MileyCyrusVEVO,9920000,7809037198,171,Unknown,Something Beautiful the album out now
Italy,IT,11,222,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,7300000,4792787804,3078,US,The Internet's Chess Teacher
Italy,IT,12,239,UCV_CsAy5CNBX_uwDQ7RMe1Q,Central Cee,6700000,2440189843,92,GB,Central Cee - Official youtube channel. Subscribe
Italy,IT,13,240,UCSFC5Cio8zaLQDFPxA7y_HQ,FavijTV,6700000,4471262739,3421,IT,ho più iscritti che capelli Business: info@favij.it In elenco AGCOM 
Italy,IT,14,248,UCzUpRdOwrILcg6c6dKxPr0g,CINEMAWALA,6410000,1879899276,525,BD,"CINEMAWALA is a Bangladeshi video contents production house based in Dhaka, Bangladesh. We provide best quality contents (Drama's, Songs, Short Films, Music Videos, Television & web series etc.) for our viewers across worldwide.  Subscribe CINEMAWALA to see our new videos on your homepage.  Note: All contents we have published on this channel is originally produced (from A to Z that includes video"
Italy,IT,15,282,UCy5FUarBYUHFpPtYVuvzgcA,ZaynVEVO,5720000,5050252002,98,Unknown,"ZAYN on Vevo - Official Music Videos, Live Performances, Interviews and more..."
