Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Japan,JP,1,10,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,83300000,27176655244,2984,Unknown,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.
Japan,JP,2,34,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,33600000,33285907184,4677,Unknown,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.
Japan,JP,3,37,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,31800000,26799490243,2707,Unknown,"JYPnation Official YouTube  Leader In Entertainment is the value and goal that JYP Entertainment constantly pursues. JYP Entertainment strives to become the leading company of the global entertainment industry.  Founded by Asia's renowned producer Jin Young Park, the company has developed successful global artists, including god, Rain, Wonder Girls, 2PM, 2AM, miss A, GOT7, TWICE, Stray Kids, ITZY,"
Japan,JP,4,293,UCMJiPpN_09F0aWpQrgbc_qg,キヨ。,5610000,6767814340,3119,Unknown,こんにちは。 なんかよくわからんけど色々やる。 【ツイッター】　http://twitter.com/kiyo_saiore　（動画・更新情報など） 【インスタグラム】　http://www.instagram.com/kiyo_yuusya 【連絡先】saiorenraku@yahoo.co.jp 
Japan,JP,5,442,UCzXjPL7zo0bxhOYDxLJ9YEg,ポッキー,3770000,4145718459,4423,JP,ゲーム実況を投稿しています。
Japan,JP,6,511,UC2GuoutVyegg6PUK88lLpjw,兄者弟者,3160000,5272180004,11061,JP,★最新投稿情報はツイッターで！《@Otojya》https://twitter.com/otojya   ▼2BRO.関連チャンネルリスト 【兄者弟者チャンネル】 https://www.youtube.com/user/norunine   【兄者のゲーム事務所】 https://www.youtube.com/c/anijyagame  Welcome to 2BRO. Official YouTube Channel!! 弟者と兄者のエンターテイメントチャンネルへようこそ！  To Game publisher! We never ask Steam Key by e-mail. So please don't send it. Thank you.
Japan,JP,7,552,UCkB8HnJSDSJ2hkLQFUc-YrQ,King Gnu official YouTube channel,2920000,2732253359,119,JP,常田大希、勢喜遊、新井和輝、井口理による4ピースジャパニーズバンド。 オルタナティブと独自のポップセンスが融合した音楽性は「Tokyo New Mixture Style」と称され、2017年4月の始動以降、インディー/メジャー問わず、楽曲をリリースするごとに賞賛を集め、多種多様な作品群で現在も多くの音楽ファンを魅了している。また、盟友クリエイティブレーベル「PERIMETRON」と制作するMV・アートワークでも確固たる注目と評価を集め、 音楽、アートワーク、映像、LIVEパフォーマンス全方位において唯一無二の世界を構築している。2019年1月にアルバム『Sympa』でメジャーシーンに踊りだし、2月には『白日』をデジタルリリースしスマッシュヒットを記録。  アルバム『CEREMONY』（2020年）はオリコンウィークリーチャート首位を獲得し、50万枚を超える長期セールスを記録し続け、日本を
Japan,JP,8,557,UCDn8Lqf-x0zD8hmFUg08f6w,狩野英孝【公式チャンネル】EIKO!GO!!,2880000,941841833,1932,JP,狩野英孝が好きなこと&楽しいことをやっていきます！ エイコーーーー　ゴーーーーーー！！！  EIKO !GO!!サブチャンネル【EIKOちゃんち。】 https://www.youtube.com/channel/UCmWFUb39ITLlpBSMTsNkseA  【ご注意】 EIKO!GO!!チャンネルの動画の無断転載・切り抜き等は固くお断りしています そのような事実を発見した場合には、警告の上、悪質な場合には、法的措置をとる場合があります。  【OP映像募集中】 ①「eikogo2020@gmail.com」に件名「オープニング」でお送りください ②時間は８秒〜２０秒くらいまで「1920x1080」「MP4」であるとうれしいです ③音源・画像・動画に関しては、ご自身で作成されたものやフリー素材のものを使用してください。 　またEIKO!GO!!の動画に関しては使用しても構いませんがゲー
Japan,JP,9,572,UCGmO0S4S-AunjRdmxA6TQYg,DECO*27,2810000,1598005429,327,JP,DECO*27 Official YouTube Channel
Japan,JP,10,597,UCj4PjeVMnNTHIR5EeoNKPAw,ドズル社,2690000,5798842674,10469,JP,ドズル社は5人でゲーム実況をしているグループです！  マインクラフトを中心にいろんなゲームの実況をしています！  毎日動画があがっているので、チェックしてね！ 
Japan,JP,11,603,UCJy7zfLsKBXoo2soFMum7JQ,あかさかの箱,2650000,1417201521,2771,JP,ハローエブリワン！あかさかの箱です📦 チャンネル登録・高評価よろしくお願いします!! 月・水・金・土の週4本投稿予定！  ◆お仕事のご相談は事務所まで！📩 https://www.uuum.co.jp/inquiry_top  ◆ファンレターやプレゼントの送り先🎁 〒107-6228 東京都港区赤坂9-7-1 ミッドタウン・タワー 28階 あかさかの箱宛 注意点：https://uuum.jp/guidance  チャンネルアイコン「_Shura0319 様」 ⚠️このチャンネルのアイコンの無断使用は固くお断りしております。 
Japan,JP,12,614,UCPVr7clenPjpD7WNsSI3UBQ,レトルト,2610000,2947205827,3898,Unknown,◆レトルトツイッター⇒https://twitter.com/retokani ◆インスタ⇒https://www.instagram.com/retort64/ ◆ニコニコ⇒http://www.nicovideo.jp/user/14930070 ◆ニコニコチャンネル⇒http://ch.nicovideo.jp/retort
Japan,JP,13,631,UC8whlOg70m2Yr3qSMjUhh0g,Kep1er,2520000,1141820463,1590,KR,This is the Official YouTube channel for Kep1er  
Japan,JP,14,660,UCh7bThzNArch6TgoHB1HVhA,カラフルピーチ,2370000,2763918654,1064,JP,カラフルピーチ（からぴち）です🍑 個性豊かな１２人が集まり、グループとして実況活動しています。  【マインクラフト】を主軸に色々なことにチャレンジし 見ている方々に「楽しい、面白い、ドキドキした、感動した」など あらゆる感情を引き出せるような動画や、 みんながわくわくできる動画を目指し日々活動・挑戦しています。  応援よろしくお願いします！  ------------------------------------------------------ 【🍑メンバーの一覧】 じゃぱぱ https://twitter.com/jpapachannel のあ https://twitter.com/mumu_mumu09 ゆあん https://twitter.com/YuaPyoon たっつん https://twitter.com/tattsun_Tpoint シヴァ https://twi
Japan,JP,15,714,UCEIMvzf3R9d3_2A3IAajvHg,赤髪のとものゲーム実況チャンネル!!,2140000,3018321128,6211,Unknown,I do not request game download keys. Any such requests are impersonations. 明るく！楽しく！元気よく！気軽に見に来てね♪(´ω｀) できるだけ毎日動画を投稿しております。 【Twitter→　https://twitter.com/tomo0723sw 】  フレンドのみんなと一緒にゲームを楽しんでる様子を 投稿していきます!! ぜひチャンネル登録お願いします!!  チャンネルトップイラスト：ほたまるさん作 ありがとうございます！！
