Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
South Korea,KR,1,10,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,83300000,27176655244,2984,Unknown,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.
South Korea,KR,2,34,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,33600000,33285907184,4677,Unknown,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.
South Korea,KR,3,37,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,31800000,26799490243,2707,Unknown,"JYPnation Official YouTube  Leader In Entertainment is the value and goal that JYP Entertainment constantly pursues. JYP Entertainment strives to become the leading company of the global entertainment industry.  Founded by Asia's renowned producer Jin Young Park, the company has developed successful global artists, including god, Rain, Wonder Girls, 2PM, 2AM, miss A, GOT7, TWICE, Stray Kids, ITZY,"
South Korea,KR,4,519,UCiEEF51uRAeZeCo8CJFhGWw,Netflix Korea 넷플릭스 코리아,3090000,1980682939,6189,KR,"넷피디가 하드 탈탈 털어 공개하는 넷플릭스의 모든 것🌟  넷플릭스(Netflix) 소개: 넷플릭스는 시리즈, 영화, 게임, 라이브 프로그램 등 다양한 장르의 콘텐츠를 여러 언어로 제공하는 세계적인 엔터테인먼트 서비스입니다. 회원들은 콘텐츠를 언제 어디서나 무제한으로 즐길 수 있으며, 언제든지 멤버십 변경이 가능합니다. "
South Korea,KR,5,545,UC8CIM3d3zDYMk-3T5aAz0yw,혜안,2980000,2348612545,1934,KR,여러분의 유튜버 혜안입니다
South Korea,KR,6,552,UCkB8HnJSDSJ2hkLQFUc-YrQ,King Gnu official YouTube channel,2920000,2732253359,119,JP,常田大希、勢喜遊、新井和輝、井口理による4ピースジャパニーズバンド。 オルタナティブと独自のポップセンスが融合した音楽性は「Tokyo New Mixture Style」と称され、2017年4月の始動以降、インディー/メジャー問わず、楽曲をリリースするごとに賞賛を集め、多種多様な作品群で現在も多くの音楽ファンを魅了している。また、盟友クリエイティブレーベル「PERIMETRON」と制作するMV・アートワークでも確固たる注目と評価を集め、 音楽、アートワーク、映像、LIVEパフォーマンス全方位において唯一無二の世界を構築している。2019年1月にアルバム『Sympa』でメジャーシーンに踊りだし、2月には『白日』をデジタルリリースしスマッシュヒットを記録。  アルバム『CEREMONY』（2020年）はオリコンウィークリーチャート首位を獲得し、50万枚を超える長期セールスを記録し続け、日本を
South Korea,KR,7,631,UC8whlOg70m2Yr3qSMjUhh0g,Kep1er,2520000,1141820463,1590,KR,This is the Official YouTube channel for Kep1er  
South Korea,KR,8,659,UCg7rkxrTnIhiHEpXY1ec9NA,잠뜰 TV,2380000,4352185153,4492,KR,"마인크래프트를 비롯한 다양한 게임들을 재밌는 콘텐츠로 만들고 있습니다😄  [비즈니스 문의] : contact@asmbl.kr [기타 문의] : skhh1221@gmail.com  구독하기 버튼과 알림 버튼을 누르시면 매일 재밌는 영상을 *제일 먼저* 만나보실 수 있습니다! 우리 꿈뜰이분들, 시청자분들 항상 감사드려요  #마인크래프트 #게임  "
South Korea,KR,9,675,UCp-pqXsizklX3ZHvLxXyhxw,DAY6,2290000,2246697274,979,KR,DAY6 Official YouTube
South Korea,KR,10,693,UCNzcxCN_Hh_lu5RCSFXKgGQ,악동 김블루,2220000,5306045503,4497,KR,"안녕하세요 김블루입니다. 제 영상을 볼 때만큼은 우리 쁠몬들이 항상 즐거웠으면 좋겠습니다!  Thanks for watching my video, and welcome to Kimblue's channel. All the videos on my channel are game videos played by me. I usually play GAME. Thanks for reading my introduction, and I hope you enjoy my other videos. It would make me really glad if you subscribe. I’ll be back with more witty and fun videos. Don’t forget to click ""Like"" and ""Subs"
South Korea,KR,11,706,UC2NFRq9s2neD_Ml0tPhNC2Q,우주하마,2170000,2115066927,3254,KR,우주하마 게임방송 :ㅕ  
South Korea,KR,12,816,UCYJDUekoQz0-bo8al1diLWQ,말왕TV,1790000,1116536935,1586,KR,즐겁게 운동하는 고품격 운동방송 ragoona88@gmail.com
South Korea,KR,13,830,UCJprx3bX49vNl6Bcw01Cwfg,T1,1730000,699061366,3411,KR,#TogetherAs1  To inspire the best game in you. 
South Korea,KR,14,837,UCw1DsweY9b2AKGjV4kGJP1A,LCK,1710000,2594044952,12877,KR,"리그 오브 레전드 챔피언스 코리아 (LCK) 공식 유튜브 채널입니다.   . . [안내 말씀]   라이엇 게임즈가 운영하는 리그오브레전드 챔피언스 코리아 (이하 ""LCK"") 와 모든 국제 대회 관련된 영상(과거 영상 포함)은 라이엇 게임즈의 소중한 자산입니다.   위에 언급된 대회의 중계 방송 영상 및 LCK 유튜브 채널의 영상을 무단으로 복제, 도용하거나 상업적으로 이용하는 행위는 저작권 관련 법규에 의거 처벌될 수 있음을 안내드립니다. (2차 편집도 금지)  더불어 저작권 침해 사례로 인해 개별 유튜브에서 받는 어떤 종류의 손해나 벌칙에 대해서도 라이엇 게임즈와 LCK는 어떠한 경우에도 배상해드리거나 지원해드리지 않으니, 이 점 참고하시기 바랍니다.   감사합니다.   ______  ■ LIVE & LI"
South Korea,KR,15,909,UCN5oT4zGJX-_H6pE5isAEeg,군림보,1520000,5147499072,7448,KR,안녕하세요 군림보 입니다  생방송 : naver.me/G5JOe5c8 e-mail : grb@sandbox.co.kr Instagram : rnsflaqh_ 
South Korea,KR,16,936,UCUbOogiD-4PKDqaJfSOTC0g,테스터훈 TesterHoon,1440000,2014903656,4946,KR,[문의는 이메일로 부탁드립니다.] 📩 이메일 : tester_hoon@naver.com
South Korea,KR,17,953,UC9PVYlrwFSlqG7w8TDsqRvQ,SUPER SOUND Bugs!,1410000,1444106921,5448,KR,"나를 위한 플리, 벅스   벅스 공식 유튜브 채널  Bugs official Youtube channel"
South Korea,KR,18,1004,UCiZqWVAeChfqlom5ZPR3ZJA,NCT WISH,1300000,847707417,1289,Unknown,NCT WISH 【Ode to Love - The 1st Album】 ➫ 2026.04.20 6PM (KST)  WISH for Our WISH 
South Korea,KR,19,1051,UCDBAVzfX3yZ1hah0FHnOoaA,괴물쥐 유튜브,1210000,1760140176,2122,KR,비즈니스 문의 - charon@gysent.com  
South Korea,KR,20,1073,UCVwkFKZl7v3V02JR8gLlUyw,백앤아,1160000,1022499604,1805,KR,"멥버십 가입! 비엔나대원이 되는 방법!👇 https://www.youtube.com/channel/UCVwkFKZl7v3V02JR8gLlUyw/join 🧡게임과 상황극을 하는 백앤아 채널🧡  🌭구독자 애칭: 비엔나🌭 🧡팬선물 보내는 주소🧡 서울시 용산구 서빙고로 17 센트럴파크타워, 29층 샌드박스 “백앤아-남매튜브” 앞 (음식은 보내시면 안됩니다!)   "
South Korea,KR,21,1121,UCw-JzmPsjRcbzJLncr4pIIA,수탉,1080000,735248326,1977,KR,하고 싶은 게임만 합니다  [비즈니스 문의 : contact@sandbox.co.kr] 
South Korea,KR,22,1124,UCl4nBkmJCDs6RR8uWldAqLA,텔론,1070000,1444155973,6042,KR,게임 좋아해요 :)  비즈니스 문의 : xordn123456@naver.com
South Korea,KR,23,1178,UCOTJtP0Z9DjpPU43B5m1V6A,[ALTUBE] 김성현TV,999000,2076864175,6447,KR,"스타크래프트 알파고테란 김성현의 유튜브채널입니다 많이사랑해주세요:D  생방송 진행시간 : 수, 목, 토, 일 오후 7시  매일 오전 11시30분 , 오후6시30분 업로드  문의 : rlatjdgus228@nate.com "
South Korea,KR,24,1179,UCAaLhok91QDrweyuDRsmjqQ,킴성태TV,997000,1070049791,2609,KR,스트리머 킴성태의 유튜브 채널입니다! 구독과 좋아요 부탁 드립니다! 비즈니스 문의 : contact@sandbox.co.kr 
