Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Nigeria,NG,1,9,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,100000000,41756433903,666,KR,"BLACKPINK Official YouTube Channel 블랙핑크 공식 유튜브 채널입니다.  JISOO, JENNIE, ROSÉ, LISA 지수, 제니, 로제, 리사"
Nigeria,NG,2,13,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,80400000,44459636885,3053,KR,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR, YX LABELS, HYBE x Geffen Records and more."
Nigeria,NG,3,21,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,55200000,10521931307,170,US,New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!  MrBeast Gaming - SUBSCRIBE OR ELSE
Nigeria,NG,4,22,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,51700000,7517476054,1821,US,Thank God👏🏽🙏🏽
Nigeria,NG,5,26,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,43300000,25113856444,120,Unknown,"Bruno Mars is a 16x GRAMMY®-winning global superstar, singer, songwriter, multi-instrumentalist, producer, and one of the most-streamed artists in the world. Known for his showmanship and chart-toppers, Bruno has set a number of records throughout his career, including becoming the first artist ever to hit 150 million monthly listeners on Spotify, appearing on two of the fastest songs to reach one"
Nigeria,NG,6,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Nigeria,NG,7,35,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,33100000,11012070711,8930,US,"omw to the grand line 🏴‍☠️   About Netflix: Netflix is one of the world’s leading entertainment services offering TV series, films, games and live programming across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. "
Nigeria,NG,8,37,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,31800000,26799490243,2707,Unknown,"JYPnation Official YouTube  Leader In Entertainment is the value and goal that JYP Entertainment constantly pursues. JYP Entertainment strives to become the leading company of the global entertainment industry.  Founded by Asia's renowned producer Jin Young Park, the company has developed successful global artists, including god, Rain, Wonder Girls, 2PM, 2AM, miss A, GOT7, TWICE, Stray Kids, ITZY,"
Nigeria,NG,9,55,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,23400000,11032918200,2009,Unknown,Stray Kids Official YouTube
Nigeria,NG,10,70,UCn_FAXem2-e3HQvmK-mOH4g,GLITCH,19500000,2778281252,230,AU,"Here you'll find fun, colourful animated shows with occasional violence and existential breakdowns :D"
Nigeria,NG,11,75,UC1sELGmy5jp5fQUugmuYlXQ,Minecraft,18700000,3202828666,1370,SE,This is the official YouTube channel of Minecraft. We tell stories about the Minecraft Universe.  ESRB Rating: Everyone 10+ with Fantasy Violence
Nigeria,NG,12,85,UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation,16900000,6090473572,26958,US,"Welcome to the official home of PlayStation on YouTube.   Here you'll find the latest videos about your favorite PlayStation products direct from Sony Interactive Entertainment, as well as consumer generated clips from other PlayStation fans.  To stay up to date, be sure to subscribe above and check back often for the new game trailers, behind-the-scenes footage, in-game moments, tips and tricks a"
Nigeria,NG,13,90,UCJHBJ7F-nAIlMGolm0Hu4vg,Maizen,16400000,14180596655,1345,US,Thank you very much for watching our videos.  Please use this form to get in touch with us. ► https://maizen.com/contact 
Nigeria,NG,14,96,UClW4jraMKz6Qj69lJf-tODA,YoungBoy Never Broke Again,15400000,18732065858,262,US,
Nigeria,NG,15,107,UCpqXJOEqGS-TCnazcHCo0rA,theRadBrad,13900000,6615139868,8995,US,"""King of the YouTube Walkthrough"" - FMV Magazine"
Nigeria,NG,16,115,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros.,12800000,8774869686,3577,US,"Welcome to the official channel for Warner Bros. Subscribe now for all our latest movie trailers, clips and featurettes! "
Nigeria,NG,17,138,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,10900000,8103356722,3317,US,Welcome to the official Universal Pictures YouTube page!
Nigeria,NG,18,142,UC0eLBYhxW9HC0P9PXQ73mpQ,Cash,10700000,3250630772,1406,US,I love to play Minecraft with my friend Nico! 
Nigeria,NG,19,146,UCRkuUgtDAL4XSU5jB40J_wA,Foltyn,10400000,3439808366,1808,Unknown,I just wanna make people smile   
Nigeria,NG,20,158,UCsPMNatXCwqyUuJilBT73jg,CaylusBlox,9700000,3015217329,840,US,i play roblox here subscribe and join the CAYLUS KINGDOM 
Nigeria,NG,21,160,UCh5mLn90vUaB1PbRRx_AiaA,MoreSidemen,9640000,6029328151,1446,GB,Welcome to the Official Sidemen 2nd Channel which is also officially the greatest channel on YouTube… ENJOY!
Nigeria,NG,22,167,UCG5qGWdu8nIRZqJ_GgDwQ-w,Premier League,9420000,7633154479,5651,GB,Welcome to the official Premier League YouTube channel. Keep up to date with the latest content from the Premier League.  Subscribe to the official Premier League YouTube channel: http://preml.ge/PremierLeagueYouTube   Premier League website: http://preml.ge/PremierLeagueWebsite  Follow the Premier League on Instagram: http://preml.ge/PremierLeagueInstagram  Follow the Premier League on Twitter: h
Nigeria,NG,23,177,UCETZ7OiW7-wqwb-6hsz3C4w,Bionic,8600000,2841713164,1004,US,Minecraft's Cyborg Leader 🦾😁  SUBSCRIBE to join the Cyborg Army! 💙 BANGER MERCH 🡆 https://www.bionic.shop  Business 🡆 bionic@fixated.co Twitter 🡆 @dannybionic Instagram 🡆 @danny.bionic  ALL MY SOCIALS 🡆 https://solo.to/bionic 
Nigeria,NG,24,182,UC6pGDc4bFGD1_36IKv3FnYg,Crunchyroll,8490000,10513564195,387838,US,"Crunchyroll brings you clips, anime openings, anime endings, trailers, teasers, and full episodes every week from the best titles anime has to offer!  "
Nigeria,NG,25,185,UCvvVOIyaYu2l4jiH9L8_eRw,Dax,8430000,2262199734,1934,US,Artist currently creating something from absolutely nothing.
Nigeria,NG,26,203,UCqA5tXN003u-18CKSICLDdg,Avocado Playz,7930000,6676346236,4906,GB,⭐PLAY ROBLOX USING MY LINK: https://www.roblox.com/join/avocado   #RobloxPartner ⭐USE STAR CODE: AVOCADO  🎥 My Official TikTok: https://www.tiktok.com/@official_avocado_playz  📧Business Email: avocadoplayz1@gmail.com 💌Fan Email: avocadoplayzfans@gmail.com 🎨 PNG Models made by: https://vgen.co/KoffeineYT/ 🎵 SPOTIFY: https://open.spotify.com/artist/4nlWyvzuFsMUbjOsfHJxZG 🎮Roblox Profile: https://www
Nigeria,NG,27,222,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,7300000,4792787804,3078,US,The Internet's Chess Teacher
Nigeria,NG,28,235,UCrYrcFGGs_nke1MggS8Jvqg,Karl,6760000,1124029230,218,US,I am a very good video gamer. Business email: Business@karlgaming.com 
Nigeria,NG,29,238,UCYDmx2Sfpnaxg488yBpZIGg,STARSHIP,6700000,5822751563,2331,KR,스타쉽 엔터테인먼트 공식 유튜브 채널 STARSHIP Entertainment Official YouTube Channel  #스타쉽 #스타쉽엔터테인먼트 #STARSHIP #STARSHIP_Ent  
Nigeria,NG,30,244,UC_5niPa-d35gg88HaS7RrIw,Disney,6550000,1398206716,1668,Unknown,"Welcome to the official Disney YouTube Channel! Enjoy fantastic entertainment including new originals, fan favorite scenes, trailers, and old favorites. From Mickey Mouse & Friends to Disney Princesses to Parks to the latest films like Zootopia 2, Freakier Friday, Avatar: Fire and Ash and more - @Disney is the official home of all things Disney on YouTube.  Stream all your favorite Disney films an"
Nigeria,NG,31,265,UC_xlDCBWQPlihORIZLWtpbA,Gamer Robot,6090000,429943755,171,DE,Official Blox Fruits Channel.  Official Blox Fruits Twitter▸ https://twitter.com/BloxFruits Channel is ran by Zioles▸ https://twitter.com/_Zioles  
Nigeria,NG,32,291,UCOZsMcbEwVbEIKW4nMNTIVA,Kitt Gaming,5630000,994291655,977,US,We play Blox Fruits And Grow A Garden!! so Follow US!  #bloxfruits #kittgaming #roblox  
Nigeria,NG,33,315,UCiifkYAs_bq1pt_zbNAzYGg,DC,5100000,2264543674,4069,US,"Welcome to DC, the official home of Superman, Batman, Wonder Woman, Green Lantern, The Flash and the rest of The World's Greatest Super Heroes! "
Nigeria,NG,34,324,UCDK7jNQhLIYAiYqe-lWpZVQ,EA SPORTS FC MOBILE,5000000,93043543,346,Unknown,Official EA SPORTS FC MOBILE account. Includes optional in-game purchases (includes random items). 
Nigeria,NG,35,340,UC2uQvUg3YYzoOtj1yZLT0Ow,FoltynPlays,4820000,868517153,1113,Unknown,I Like To Make People Smile :)  For Business Inquires: foltyn@ellify.com 
Nigeria,NG,36,357,UCNDzLI-hyihpAx3zKtwhGZw,Techy Plays,4670000,733079685,1247,Unknown,I love to make people smile :)  business: techysbusiness@gmail.com 
Nigeria,NG,37,367,UCRe2Ir9wtPk_YQjElam7n2w,Nathaniel Bassey Main,4520000,810621848,452,NG,"""Nathaniel Bassey Main"", the official YouTube page of Nathaniel Bassey is home to anointed and inspiring songs and videos. Nathaniel Bassey lives for two major reasons. To GLORIFY JESUS, and To EDIFY PEOPLE."
Nigeria,NG,38,380,UC9K44RtwiROAwCpALm1wdyQ,NDL,4400000,588746626,154,GB,"The home of the NDL, join us and subscribe."
Nigeria,NG,39,409,UCuAeaANgGAzjitp9KCO-qvg,MeEnyu,4090000,883833083,782,CA,business contact: enyu@clickmgmt.com.au
Nigeria,NG,40,437,UChSff_mx1n57Hf-k4zFXIjg,Shenseea,3840000,1376134649,67,JM,Official Youtube channel of  Shenseea
Nigeria,NG,41,439,UCHRTfR2r0Ss3UjFyw7gSA-A,Ryguyrocky,3820000,1558886945,1936,US,SUBSCRIBE: https://www.youtube.com/subscription_center?add_user=ryguyrocky  I make 100 day content 
Nigeria,NG,42,465,UCkzzNLnuM-VsATWC53ehwOQ,Wemmbu,3470000,474054709,82,Unknown,minecraft man doing minecraft things  
Nigeria,NG,43,520,UCiCSDcAcGDvD_v0TQQ8nxJg,TrailerSpot,3090000,531345819,1596,US,"Welcome To TrailerSpot channel.   We have all the latest official trailers, tv spots, clips & new movie trailers compilation just for you. In The highest quality Out There.  All The Videos In The Channel Are Enhanced To 4K (3840 × 2160 px; also known as Ultra HD and UHD) Quality.  In addition, we create original content like movie news, movie previews, so subscribe and turn the notification on to "
Nigeria,NG,44,523,UCuOnYE6km4LnKL_nPcgVa9A,Simply Chris,3070000,1022202868,1001,US,Comedy Gaming videos released every other day! Do you like Anime? Superheros? or just plane funny mods? Yeah I do that stuff too!   
Nigeria,NG,45,524,UCgtDkLbESdzKgJT_oB9AVTw,Rvssian,3070000,2366313913,180,Unknown,"Official Channel of Jamaican super producer Tarik ""RVSSIAN"" Johnston and his label Head Concussion Records & Rich Immigrants. Subscribe for new music"
Nigeria,NG,46,537,UC_HtEPrXQYKJ9Pihwg0u1Rw,Mandee Channel,3020000,1439940834,988,TH,
Nigeria,NG,47,539,UCbOCbp5gXL8jigIBZLqMPrw,HarryStylesVEVO,3010000,5873020253,80,US,"Harry Styles on Vevo - Official Music Videos, Live Performances, Interviews and more..."
Nigeria,NG,48,542,UCx-KWLTKlB83hDI6UKECtJQ,HBO Max,3000000,2138864875,239780,US,A new era of Hogwarts begins. linktr.ee/hbomax  
Nigeria,NG,49,600,UChPRO1CB_Hvd0TvKRU62iSQ,Harry Potter,2660000,1675050859,2667,US,"Welcome to the official Harry Potter YouTube channel, home to 25 years of magic.  Subscribe to receive official news and updates first by becoming a member of the Harry Potter Fan Club, and enjoy the magic all year round: https://www.harrypotter.com/harry-potter-fan-club  Relive every moment of magic and take home the Harry Potter Complete Collection: https://www.warnerbros.com/movies/harry-potter"
Nigeria,NG,50,625,UC83tx3zGcvQ_rXzsZigTnEA,APATATV+,2560000,268773557,2447,Unknown,"APATATV+ is a new promising Yoruba Movies channel on YouTube that offers you varieties of Latest Yoruba Movies and New Release Yoruba Movies with a worthwhile viewing pleasure and experience. It is a channel built to showcase the best of African Culture and Heritage through Educative, Captivating and Intriguing Latest New Release Yoruba Movies and Latest Yoruba Comedy Movies for FREE. At ApataTV+,"
Nigeria,NG,51,656,UC5-cg5RahETrjGu-r8zjYCQ,Santan Dave,2390000,1228944329,28,GB,
Nigeria,NG,52,661,UChR1Yn7YpVrnP-SbsWtjuBA,S2G,2370000,993964224,2853,AE,Email for Business Enquiries :- S2G@velocetalent.gg  Home for all things FC 26 Career Mode!
Nigeria,NG,53,668,UC0A86RKLCqTEUna3hPlEpzg,Superhero FXL Games,2340000,724513452,449,BR,"Superhero FXL Games - Tips & Gameplays.  Here, you will find tips on how to pass stages, defeat bosses, and complete challenges in superhero games. I help entertain and educate my viewers through my gameplay footage, all of which is recorded and edited by me.  Favorite Games:  Spider-Man Miles Morales Gameplay; GTA 5 Mod 4K Ultra Realistic Graphics (Natural Vision Evolved); Marvel vs Capcom (Aveng"
