Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Netherlands,NL,1,13,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,80400000,44459636885,3053,KR,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR, YX LABELS, HYBE x Geffen Records and more."
Netherlands,NL,2,21,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,55200000,10521931307,170,US,New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!  MrBeast Gaming - SUBSCRIBE OR ELSE
Netherlands,NL,3,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Netherlands,NL,4,34,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,33600000,33285907184,4677,Unknown,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.
Netherlands,NL,5,35,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,33100000,11012070711,8930,US,"omw to the grand line 🏴‍☠️   About Netflix: Netflix is one of the world’s leading entertainment services offering TV series, films, games and live programming across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. "
Netherlands,NL,6,42,UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,26000000,16859074352,2221,US,Official Vanoss Gaming YouTube Channel.
Netherlands,NL,7,50,UCBYvr4SqfGQd5fTmOXVQ4Zw,ГЛЕНТ,24600000,5749927942,1056,BY,"Привет ! Я Глент и это мой канал !!! Спасибо за то, что нажал кнопку ""Подписаться"" :) Регистрация в перечне владельцев страниц в соцсетях: https://knd.gov.ru/license?id=6763bb73506f9677283a6df6&registryType=bloggersPermission "
Netherlands,NL,8,52,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,24000000,4432860037,405,FI,Fast-paced 3v3 multiplayer and battle royale made for mobile! 🔥   Play with friends or solo across a variety of game modes in under three minutes. 
Netherlands,NL,9,55,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,23400000,11032918200,2009,Unknown,Stray Kids Official YouTube
Netherlands,NL,10,75,UC1sELGmy5jp5fQUugmuYlXQ,Minecraft,18700000,3202828666,1370,SE,This is the official YouTube channel of Minecraft. We tell stories about the Minecraft Universe.  ESRB Rating: Everyone 10+ with Fantasy Violence
Netherlands,NL,11,77,UCdKuE7a2QZeHPhDntXVZ91w,Kuplinov ► Play,17300000,8560485106,7574,Unknown,"Здесь можно поржать, отложить кирпичей, снять стресс и сбросить вес. А+ https://vk.cc/cFuPHR   "
Netherlands,NL,12,79,UC0cWWruNMb95iCBEOzPnjRA,Компот,17300000,11110746980,3197,AE,"Привет, друзья! Я Рома, а это мой канал на YouTube. Тут каждый день выходят видео по игре Minecraft! Оставайся со мной, ведь я всегда в сети ;)  Все права защищены. Никакая часть контента не может быть воспроизведена в какой-либо форме без письменного разрешения правообладателя, за исключением использования в информационных, научных, учебных или культурных целях. Персонаж охраняется товарным знако"
Netherlands,NL,13,81,UCrpt82vHWIWZSHtNQxncPrg,EdisonPts,17200000,8763917706,4501,RU,Информация обо мне: ► Мой ТЕЛЕГРАМ: https://t.me/edisonfamilia ► Второй канал: https://www.youtube.com/eduardperets  По поводу рекламы и сотрудничества писать на ПОЧТУ: 🡆 Почта: edison@wildjam.ru  Регистрация в перечне РКН: https://vk.cc/cHlrYl 
Netherlands,NL,14,85,UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation,16900000,6090473572,26958,US,"Welcome to the official home of PlayStation on YouTube.   Here you'll find the latest videos about your favorite PlayStation products direct from Sony Interactive Entertainment, as well as consumer generated clips from other PlayStation fans.  To stay up to date, be sure to subscribe above and check back often for the new game trailers, behind-the-scenes footage, in-game moments, tips and tricks a"
Netherlands,NL,15,89,UCxsk7hqE_CwZWGEJEkGanbA,KreekCraft,16700000,7088178326,6838,US,SUBSCRIBE IF YOU PLAY ROBLOX!
Netherlands,NL,16,97,UC5H_KXkPbEsGs0tFt8R35mA,Martin Garrix,15200000,7275834837,514,US,"Multi-platinum-selling, chart-topping Dutch DJ and producer Martin Garrix is one of the most successful artists to break into the pop and electronic music scenes. Since his breakout hit ""Animals"" in 2013 at just 17 years old, Garrix has headlined festivals globally and collaborated with top stars including Dua Lipa, Bono, The Edge, Macklemore, and Khalid. Known for his high-energy performances and"
Netherlands,NL,17,102,UCB_qr75-ydFVKSF9Dmo6izg,FORMULA 1,14500000,9494602858,9886,Unknown,"The home of risk takers, late brakers and history makers! 💫 "
Netherlands,NL,18,103,UCm-X6o81nRsXQTmqpyArkBQ,Flamingo,14400000,12436657326,2790,US,The Most Botted Channel EVER 
Netherlands,NL,19,115,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros.,12800000,8774869686,3577,US,"Welcome to the official channel for Warner Bros. Subscribe now for all our latest movie trailers, clips and featurettes! "
