Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Pakistan,PK,1,2,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,311000000,335650634349,25757,IN,"Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music.  For over thirty years, we’ve been more than a label. We’ve been listeners archeologists of emotion, digging in every corner of India, collecting stories and music in all forms told in all Indian languages.   And we believe that the language of the heart"
Pakistan,PK,2,6,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,122000000,86968226392,15963,IN,"Zee Music Company is part of India's leading television media and entertainment companies. It is amongst the largest producers and aggregators of Hindi programming in the world, with an extensive library housing over 222,000 hours of television content along with a strong presence in over 171 countries and a total viewership of 1 Billion plus people around the globe. Our Library has rights to more"
Pakistan,PK,3,13,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,80400000,44459636885,3053,KR,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR, YX LABELS, HYBE x Geffen Records and more."
Pakistan,PK,4,15,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,70500000,58327585911,11808,IN,"Welcome to Sony Music India's official YouTube channel, the ultimate destination for music enthusiasts and fans of the Indian music scene. Immerse yourself in a world of melodies, rhythms, and harmonies as we proudly present ""Sony Music India - Home To India's Biggest Music Hits.""  Step into a realm where musical brilliance knows no bounds, and every beat resonates with the heartbeat of a nation. "
Pakistan,PK,5,19,UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,61300000,32881917240,10570,IN,"The proud history of Saregama (an RPSG group company) stretches back over a century to 1901. Formerly known as The Gramophone Company of India Ltd. and more popularly as HMV (His Master's Voice), Saregama was established as the first overseas Indian Branch of Electrical & Musical Industries Limited (EMI), London. From producing the first song recorded in India in 1902 by the star of yesteryears, G"
Pakistan,PK,6,21,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,55200000,10521931307,170,US,New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!  MrBeast Gaming - SUBSCRIBE OR ELSE
Pakistan,PK,7,23,UCX8pnu3DYUnx8qy8V_c6oHg,Techno Gamerz,50900000,15512236453,1163,IN,"Hey Everyone! This is Ujjwal here! Welcome to ""Techno Gamerz"" YouTube Channel! I created this channel for android games i upload daily videos about mobile related games and gaming news so if you’re interested in playing games so this channel is helpful for you. Please SUBSCRIBE to Techno Gamerz, Thanks.  If you are looking for somebody to make a review of your products or product of your company, "
Pakistan,PK,8,24,UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,48300000,35851651373,13097,IN,"Speed Records, the biggest Punjabi Music Record label in the world combining feet tapping tunes accompanied with vibrant voices as the identifier of Punjabi culture. With best of artistes in Punjabi Music and a huge repertoire of hits, this is your one stop destination for Punjabi Music!  Enjoy & stay connected with us! ► Subscribe to Speed Records : http://bit.ly/SpeedRecords ► Like us on Faceboo"
Pakistan,PK,9,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Pakistan,PK,10,35,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,33100000,11012070711,8930,US,"omw to the grand line 🏴‍☠️   About Netflix: Netflix is one of the world’s leading entertainment services offering TV series, films, games and live programming across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. "
Pakistan,PK,11,36,UCNqFDjYTexJDET3rPDrmJKg,7clouds,32100000,29169970048,3346,US,"​7clouds is a record label and music curation brand on YouTube - a haven for music lovers with a family of over 25 million subscribers! We bring to you the freshest pop and electronic melodies, paired beautifully with lyric videos set against mesmerizing sky visuals. Curious? Dive into 7clouds on YouTube and let the music take you on a cloud-bound journey.  ☁️  7clouds: Where every beat touches th"
Pakistan,PK,12,74,UCD5EC8IWhOFalXtePCkhJTA,Tonde Gamer,18900000,5992583230,3287,IN,Hey Guys! This Channel is mainly about Garena Free Fire LIVE Game Play & latest Updates on FREE FIRE.   Managed by XNetwork.gg For business - tonde@xnetwork.gg 
