Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Russia,RU,1,10,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,83300000,27176655244,2984,Unknown,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.
Russia,RU,2,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Russia,RU,3,34,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,33600000,33285907184,4677,Unknown,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.
Russia,RU,4,50,UCBYvr4SqfGQd5fTmOXVQ4Zw,ГЛЕНТ,24600000,5749927942,1056,BY,"Привет ! Я Глент и это мой канал !!! Спасибо за то, что нажал кнопку ""Подписаться"" :) Регистрация в перечне владельцев страниц в соцсетях: https://knd.gov.ru/license?id=6763bb73506f9677283a6df6&registryType=bloggersPermission "
Russia,RU,5,77,UCdKuE7a2QZeHPhDntXVZ91w,Kuplinov ► Play,17300000,8560485106,7574,Unknown,"Здесь можно поржать, отложить кирпичей, снять стресс и сбросить вес. А+ https://vk.cc/cFuPHR   "
Russia,RU,6,79,UC0cWWruNMb95iCBEOzPnjRA,Компот,17300000,11110746980,3197,AE,"Привет, друзья! Я Рома, а это мой канал на YouTube. Тут каждый день выходят видео по игре Minecraft! Оставайся со мной, ведь я всегда в сети ;)  Все права защищены. Никакая часть контента не может быть воспроизведена в какой-либо форме без письменного разрешения правообладателя, за исключением использования в информационных, научных, учебных или культурных целях. Персонаж охраняется товарным знако"
Russia,RU,7,81,UCrpt82vHWIWZSHtNQxncPrg,EdisonPts,17200000,8763917706,4501,RU,Информация обо мне: ► Мой ТЕЛЕГРАМ: https://t.me/edisonfamilia ► Второй канал: https://www.youtube.com/eduardperets  По поводу рекламы и сотрудничества писать на ПОЧТУ: 🡆 Почта: edison@wildjam.ru  Регистрация в перечне РКН: https://vk.cc/cHlrYl 
Russia,RU,8,113,UCc7eC3oct63oVOuHCOFmAeg,DRЫNDA,12800000,15606955425,2159,UA,"Здарова. На этом канале в основном будут выходить видео по игре Garry's mod, в общей массе они будут представлять из себя отыгровку различных ролевых идей, ивентов, игр и другой контент, связанный с Garry's mod.   🎬 Ролики выходят раз в 3-4 дня. 🎤 Стримы провожу по настроению, рандомно. Советую включить уведомления через колокольчик, чтобы не пропустить стрим.  Вступайте в мой Telegram для того, ч"
Russia,RU,9,129,UC_F8DoJf9MZogEOU51TpTbQ,Clash Royale,11700000,2694248553,870,Unknown,"Clash Royale is a real-time, head-to-head battle game set in the Clash Universe. Welcome to the Arena!"
Russia,RU,10,130,UC-Bc-4nV2-Tk4Af2rqrmrjA,HomeAnimations - Мультики про танки,11600000,6483375192,1448,RU,"Мультики про танки и не только !  Новые мультики каждую неделю! по ПОНЕДЕЛЬНИКАМ , СРЕДАМ И ПЯТНИЦАМ ! Поддержите проект: лайк и подписка будут лучшим стимулом для развития !  Цели  Нас 5000 - 22.04.17                   Нас 10000 - 18.08.17                 Нас 20000 - 13.11.17                     Нас 25000 - 05.12.17                     Нас 50000 - 10.02.18                     Нас 75000 - 23.03.18"
Russia,RU,11,133,UCAvrIl6ltV8MdJo3mV4Nl4Q,MrLololoshka (Роман Фильченков),11300000,5510275214,4232,US,"Меня зовут Роман, подпишись! Канал весёлый и интересный! Видео по модам, летсплеям для Minecraft. Иногда могут быть видео по хоррор играм. Улё  5605344252  • По рекламе — lololoshkawork@gmail.com   "
Russia,RU,12,188,UCFBcrywVNeUOqtJgGhPEvQg,TheBrainDit,8310000,3234452461,9647,UA,игровой развлекательный канал Олега Брейна   
Russia,RU,13,189,UC-ZROtSKHGERKmfuYL0AryQ,ShadowPriestok - Евгений Чернявский,8310000,3836457860,4079,KZ,"Привет всем! Меня зовут Жека! Вы находитесь на игровом канале под названием ShadowPriestok! На моем канале Вы сможете увидеть много различных игровых роликов: ролплей, прохождения, монтажи, размышления, обзоры, нарезки, топы, а также просто веселые видео!   На моём основном канале я снимаю по большей части только игровой контент, но для любителей видео из жизни, у меня есть второй канал, который н"
Russia,RU,14,195,UCb5oqCZ4AfmfXbgHsfei0tQ,Domer Grief,8220000,1659482183,850,UA,"Всем привет ребятушки!С вами Домер!) Так-же известен как MrDomer [В играх] Я снимаю различные ролики по Грифер Шоу, Проверке Игроков в ""Minecraft"" и многое другое)) Гы :)  █ - 1.000.000 √ 28.04.2020 ██ -1.500.000 √ 31.12.2020 ███ - 2.000.000 √ 20.06.2021 ████ - 2.500.000 √ 02.01.2022 █████- 3.000.000 √ 23.04.2022 ██████ - 3.500.000  √ 25.08.2022 ███████ - 4.000.000 √ 17.04.2023 ████████ - 5.000.00"
Russia,RU,15,196,UC2VQebBHZ0Jmh-AI2JrXkQg,OVER SHOW,8210000,4353325563,6750,RU,"Всем привет! Я Овер (OVER SHOW) снимаю видео по игре Scrap Mechanic (скрап механик), а так же патруль кс го и маньяк cs:go! Ролики выходят каждый день на канале овер шоу.  Реклама / сотрудничество -  overshow@mercuryagency.ru 7e9162fe-e6af-42c7-988c-e86cd2de565b "
Russia,RU,16,197,UCpDzpaUTbIkdjkCZ9pmfMrA,Coffi Channel,8180000,4211066219,7985,RU,"Доброго времени суток друзья  Меня зовут COFFI, и этой мой канал, посвященный игровой тематике. На канале вы увидите море веселых прохождений, обзоров, лестплеев по таким играм, как SAMP, CS:GO, GTA 5 Online, RUST  и многое другое.  Будь с нами и не скучай.  https://www.gosuslugi.ru/snet/6793d72f58ab2221b0dc2322  K9G61A"
Russia,RU,17,236,UCqzhvLeBcNEJHq9dZDEit8Q,Веля,6740000,1142026603,1604,RU,"Делаю видео, провожу стримы, развлекаю людей.  https://l.likee.video/p/J3gJd5 "
Russia,RU,18,270,UCdd2rozVKNHZg9oTeY_X7WQ,Виндяй,6050000,2054385961,1385,RU,"Заявление в роскомнадзор отправлено: №6369576983 О рекламе или предложениях сотрудничества пишите на почту - windyreactions31@gmail.com  Хочешь посмотреть веселые видео или тест на психику не смейся челлендж? Тогда ты пришел по правильному адресу! На этом канале можно найти много блогов и других интересных видео, в том числе, конечно и тест на психику не смейся челлендж. Попробуй не засмеятся на э"
Russia,RU,19,277,UC8j5GsMc0pjInklm4DfwCZQ,Джел,5770000,2530533723,2423,RU,"🚨Всем здарова чуваки, меня зовут Джел🤪! Я снимаю топовые видосики для вас по GTA 5🎮. Чаще всего на моем канале можно посмотреть различные рубрики такие как:  📕Битва воров,  📗Битва рандома,  📘Битва водолазов,  📙Битва эвакуаторов,  📔Орел и решка,  📒Рулетка удачи,  📕Прячь ищи,  📘Эксперименты, 📗Битва автоугонщиков,  ❗Видео выходят каждый день в 14:00 по МСК, так что не пропускай⏰ :D  😏Надеюсь тебе нра"
Russia,RU,20,327,UCkNoJaaAYclU54cs5ARnC6A,MrShadyMan,4950000,2658491320,4534,RU,"Привет дружище! Добро пожаловать на канал MrShadyMan Здесь ты сможешь найти много различных видео по майнкрафту, такие как SkyWars, BedWars, прохождение карт и многое другое! Надеюсь тебе понравится, спасибо что заглянул! :) РКН / № 5031506284  Цели:  1) 1.000 подписчиков - ✔ 2) 5.000 подписчиков - ✔ 3) 10.000 подписчиков - ✔ 4) 30.000 подписчиков - ✔ 5) 50.000 подписчиков - ✔ 6) 100.000 подписчик"
Russia,RU,21,355,UCSYOvRiB12CnApfSC_GeFXg,• Gerand •,4690000,3133137496,1253,RU,"Добро пожаловать на канал Gerand. Gerand - Герой Рандома. Мультсериал про танки - фантастический, военно-исторический мультфильм. Если вам понравилось видео, не поленитесь поставить лайк, а также буду благодарен за подписку на мой канал! Удачи. :-)  Задать вопрос: gerandtv@mail.ru  Реклама: gerand@adisom.net  Поддержать: http://www.donationalerts.ru/r/gerandtv Instagram Gerand: https://www.instagr"
Russia,RU,22,411,UCNJwQAU08P3muRZkZUOvx5A,Family Play TV,4070000,1985353571,1884,Unknown,"Я Даша, и это мой игровой канал. В основном я играю в мобильные игры или Роблокс, обычно играю одна, но иногда со своей сестренкой Алёной. Мой канал не о том как быть лучшим в играх, а о том как я просто играю и развлекаюсь, как я могу. Я надеюсь, что вам понравится смотреть мои видео."
Russia,RU,23,412,UCXHczq_8PytR6mEJeUTTrqw,ViteC ► Play,4050000,2946319887,10203,RU,"Приколы и юмор - мои спутники в прохождении игр! Игровой канал ViteC ► Play. Прохождение The Binding of Isaac, атмосферных и интересных инди игр, смешных игр и игр на андроиде.  Добро пожаловать и приятного просмотра!  Мой стрим канал: http://twitch.tv/vitecp Анонсы: http://vk.com/vitecp Мой комп:  Ryzen 7 5800X, 32Gb RAM, RTX 4080  ______________________________________________ Если у вас есть же"
Russia,RU,24,470,UCiVJZlfcmWMUiXv5oywnDhQ,Wifies,3440000,313488621,541,US,I think it's pronounced wee-fees but I really have no idea  
Russia,RU,25,499,UCBss5McqBPfUKk5OZES0WFA,Qewbite,3260000,1429148758,2679,RU,"Меня зовут Влад, но больше известен как Кьюбайт! На этом канале я рассказываю о киномиксах, киновселенных Марвел  и DC, играю в видеоигры, распаковываю всяческие посылки и коробки для гиков (нердов/задротов) и многое другое. Присоединяйся, если нравится подобное!  Я ценю время зрителей, потраченное на меня, поэтому стараюсь всегда отвечать и помогать им. Если Вам хочется поддержать канал, то лучши"
Russia,RU,26,529,UCZwP1iUQiAKYQp5w-9mJb_w,Nexus [GD],3060000,1683217995,2990,US,"Mostly videos of great levels that I find, I hope you enjoy watching these videos as much as I enjoy making them :^)  Menu Song: Whirlwind by Jumper https://www.newgrounds.com/audio/listen/589599"
Russia,RU,27,542,UCx-KWLTKlB83hDI6UKECtJQ,HBO Max,3000000,2138864875,239780,US,A new era of Hogwarts begins. linktr.ee/hbomax  
Russia,RU,28,569,UClTYGNdQTwp2w3PhOpmVIkw,КОШКА ЛАНА,2830000,1443518999,2792,RU,"Привет, меня зовут Лана! 🐾  Я на ютубе с 2017 года, всего на моём канале вышло больше двух тысяч видео (самой страшно), в основном по роблоксу, но есть и стимовские новинки и даже симулятор мыши (олдам привет 👀)  И вот уже несколько лет мы с друзьями снимаем новые видео почти каждый день 🙃  За это время мы успели сделать свой магазин мерча https://uley.shop и даже свою онлайн-школу https://uley.io"
Russia,RU,29,575,UCFxcToYcNu7ZGgegVfttjEQ,Райм,2800000,961175429,1195,RU,"Привет! На моем канале ты найдешь много развлекательных и игорвых видео! Если тебе нужно отдохнуть от школы, садика, войны, зомбиапокалипсиса, то ты по адресу! )  https://rutube.ru/channel/70463960/  РКН: https://www.gosuslugi.ru/snet/67dbd42e5868046c67eff45b  06fbd213-aa12-4725-915d-15399610862b  "
Russia,RU,30,591,UCRgbyMytcwJwT86rlbBHFzQ,START,2720000,1193015661,2473,RU,"Онлайн-кинотеатр START снимает и показывает ваши любимые сериалы — они регулярно собирают награды и возглавляют рейтинги. А еще у нас большая библиотека кино, сериалов и мультфильмов и даже 200+ телеканалов — все это в единой подписке без доплат!  Регистрация в РКН: https://clck.ru/3FzGJq  "
Russia,RU,31,592,UCjzhzbnwYid8BXOYfXfspKw,Ric,2710000,624778565,1997,RU,"Всем добряяяя сеньёры и сеньёрины меня зовут Ric) если коротко говоря это канал с видосиками по Standoff 2 ну а так же тут появляется CS:GO иногда, vr игры время от времени и другие забавные и интересные игры) не забудь подписаться бро  Регистрация в перечне РКН:  https://gosuslugi.ru/snet/6799101819290c0f937fc017 "
Russia,RU,32,598,UCuyhhCyM1ZWa1KUQYu3_Exg,Никита Берг,2680000,422497798,582,UA,"❗Мой телеграм - https://t.me/mysticsberg  🔥 Самые страшные майнкрафт видео на Ютубе! ⚡ Не забывайте, что мой контент развлекательный, а видео могут оказаться постановочными. Добро пожаловать в семью! "
Russia,RU,33,631,UC8whlOg70m2Yr3qSMjUhh0g,Kep1er,2520000,1141820463,1590,KR,This is the Official YouTube channel for Kep1er  
Russia,RU,34,690,UCLizDDpxiFRoqTLlMyGX7lQ,Joe Speen,2230000,1329794161,2359,RU,"Пщщ! Я Joe Speen (Джо спин, joe_speen), а это мой канал (логично, да?) Тут есть ГТА 5 онлайн \ GTA 5 online, а именно:  приколы, смешные моменты, крутые гонки, карты на прохождение, скилл тесты, интересные режимы и многое другое.  А ещё этот канал, возможно, самый крупный в ру сегменте по ГТА 5 рп (GTA 5 RP). Снимаю эту рубрику уже более пяти лет, по количеству серий скоро опередим Санта Барбару. "
Russia,RU,35,697,UCs4cGNX7xRaCmoBywFfjUUA,OfficialZelel,2220000,737875891,7400,US,"🔥 Братишка здесь ты найдешь прохождение 99 ночей в лесу, Garten of banban, Roblox, 5 Ночей с Тимохой, Фнаф, Fnaf Прохождение, и многие другие. 🔥  № 4932351436 Подпишись и поставь колокольчик, БРО!  Telegram: https://t.me/zelelgames Почта для сотрудничества: officialzelel@gmail.com "
Russia,RU,36,724,UCkPjGQlqzXbDD7R-KDZxkUg,Buggy Huggy,2090000,1008917019,1047,US,"Hi! My name is Vlad and here i will post some videos from Poppy Playtime game. You will see game mods, edits and glitches with Huggy Wuggy, Kissy Missy and Poppy."
Russia,RU,37,728,UCeA20izeAJCJFrb-TdByF2Q,Dimas.tv,2080000,955360633,10201,UA,"Всем привет меня зовут Дмитрий и я обожаю компьютерные игры, на моем канале вы найдете видео по играм от которых я ору и не сплю по ночам. Видео на канале выходит каждый день Так что подпишись не пропусти новые видосы!!! Донат - https://donatello.to/Dimastv                           ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬"
Russia,RU,38,729,UCw7sVUMfBQp1ExHvyTcWctw,EvoNeon FIFA,2080000,932610956,2551,Unknown,"EvoNeon Fifa - FC 26, Спорт/Футбол, Fifa Mobile, Fortnite, челленджи и многое другое! Подпишись, чтобы не пропустить  По сотрудничеству писать сюда evoneonfifa@gmail.com "
Russia,RU,39,755,UC7FmLoQa5uWZKGg4pxgKmLg,Standoff 2 Live,1980000,330256645,338,CY,"Standoff 2 Live is an official channel of the developers of Standoff 2 — a mobile shooter. On this channel, you'll find the latest news from the game world, development secrets, Easter eggs, memes, promo codes, answers to frequent questions, and much more!"
Russia,RU,40,796,UCXafqFLvFwxLpYNIRRf42IQ,Огород Домера,1840000,198458596,305,PL,"Всем привет ребятушки!С вами Домер!) Так-же известен как MrDomer [В играх] Сдесь вы можете посмотреть новости канала!Новый видео!арты от меня и для меня!а также различные Летс плеи мини-игры,выживание и качественные видео-обзоры!) █ - 100 √ ██ -1000 ███ -1500 ████ -2000  █████-3000  ██████ -4000  ███████ -5000  ████████ -6000  █████████ - 7000  ██████████ - 9000 ███████████ - 10000"
Russia,RU,41,820,UCwkDYwR6NT9KhQJA0ZQ9jBw,FixEye - Роблокс,1770000,971345562,623,AE,"Фиксай теперь в роблокс, играем в режимы, веселимся с друзьями и проходим топовые режимы! РКН - https://gosuslugi.ru/snet/67b3263b48dfb51c40fbe448 bmfntcky "
