Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Sweden,SE,1,13,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,80400000,44459636885,3053,KR,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR, YX LABELS, HYBE x Geffen Records and more."
Sweden,SE,2,21,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,55200000,10521931307,170,US,New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!  MrBeast Gaming - SUBSCRIBE OR ELSE
Sweden,SE,3,22,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,51700000,7517476054,1821,US,Thank God👏🏽🙏🏽
Sweden,SE,4,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Sweden,SE,5,35,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,33100000,11012070711,8930,US,"omw to the grand line 🏴‍☠️   About Netflix: Netflix is one of the world’s leading entertainment services offering TV series, films, games and live programming across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. "
Sweden,SE,6,38,UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31200000,17561205184,5307,IE,"I play videogames but I also make other content like Try not to laugh, reacting to tik toks, meme review and IRL content. A lot of people come to my channel for long let's plays, especially for Sony Exclusive games from Playstation."
Sweden,SE,7,42,UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,26000000,16859074352,2221,US,Official Vanoss Gaming YouTube Channel.
Sweden,SE,8,44,UCke6I9N4KfC968-yRcd5YRg,SSundee,25300000,17005552696,3693,US,Welcome to my channel!  I upload a lot of funny Minecraft and Roblox Videos! I also upload random games. lol I yell a lot.  I also play random games from time to time.  -SSundee
Sweden,SE,9,48,UCzYfz8uibvnB7Yc1LjePi4g,Aphmau,24700000,28832853594,5710,US,Welcome to my Gaming Youtube Channel!    My name is Aphmau – that’s my online alias. My real name is Jess; feel free to call me whichever you prefer! Come frolic along with me in this internet world of gaming! I play games every day of the week. Wee!
Sweden,SE,10,52,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,24000000,4432860037,405,FI,Fast-paced 3v3 multiplayer and battle royale made for mobile! 🔥   Play with friends or solo across a variety of game modes in under three minutes. 
Sweden,SE,11,75,UC1sELGmy5jp5fQUugmuYlXQ,Minecraft,18700000,3202828666,1370,SE,This is the official YouTube channel of Minecraft. We tell stories about the Minecraft Universe.  ESRB Rating: Everyone 10+ with Fantasy Violence
Sweden,SE,12,85,UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation,16900000,6090473572,26958,US,"Welcome to the official home of PlayStation on YouTube.   Here you'll find the latest videos about your favorite PlayStation products direct from Sony Interactive Entertainment, as well as consumer generated clips from other PlayStation fans.  To stay up to date, be sure to subscribe above and check back often for the new game trailers, behind-the-scenes footage, in-game moments, tips and tricks a"
Sweden,SE,13,89,UCxsk7hqE_CwZWGEJEkGanbA,KreekCraft,16700000,7088178326,6838,US,SUBSCRIBE IF YOU PLAY ROBLOX!
Sweden,SE,14,103,UCm-X6o81nRsXQTmqpyArkBQ,Flamingo,14400000,12436657326,2790,US,The Most Botted Channel EVER 
Sweden,SE,15,109,UC-g_O9HWb5B0rVDG1hLd5Hw,EYstreem,13400000,5751542130,2209,AU,"When waves rise, You still them.🌊 (Psalm 89:9) Subscribe to jump on the EYwave and ride with me in my next video! I can't wait to see you there 😜  Owned and operated by Spawnpoint Media. https://spawnpointmedia.com/ "
Sweden,SE,16,115,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros.,12800000,8774869686,3577,US,"Welcome to the official channel for Warner Bros. Subscribe now for all our latest movie trailers, clips and featurettes! "
Sweden,SE,17,129,UC_F8DoJf9MZogEOU51TpTbQ,Clash Royale,11700000,2694248553,870,Unknown,"Clash Royale is a real-time, head-to-head battle game set in the Clash Universe. Welcome to the Arena!"
Sweden,SE,18,133,UCAvrIl6ltV8MdJo3mV4Nl4Q,MrLololoshka (Роман Фильченков),11300000,5510275214,4232,US,"Меня зовут Роман, подпишись! Канал весёлый и интересный! Видео по модам, летсплеям для Minecraft. Иногда могут быть видео по хоррор играм. Улё  5605344252  • По рекламе — lololoshkawork@gmail.com   "
Sweden,SE,19,142,UC0eLBYhxW9HC0P9PXQ73mpQ,Cash,10700000,3250630772,1406,US,I love to play Minecraft with my friend Nico! 
Sweden,SE,20,145,UC_q5WZtFp36adwqhKpZzxwQ,SypherPK,10600000,7064813524,3482,US,Hey everyone! I’m Sypher and I make gaming videos :)  Socials:  - Watch me live at: http://www.twitch.tv/sypherpk   - Twitter: http://www.twitter.com/sypherpk   - Instagram: https://www.instagram.com/sypherpk  - Facebook: https://facebook.com/SypherPK  - Discord: https://discord.gg/SypherPK -----------------------------------------------------------  Want to be part of my YouTube editing team? App
Sweden,SE,21,146,UCRkuUgtDAL4XSU5jB40J_wA,Foltyn,10400000,3439808366,1808,Unknown,I just wanna make people smile   
Sweden,SE,22,147,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo of America,10100000,3981255334,7355,US,"Welcome to the official Nintendo of America YouTube channel, where you'll find all the latest videos and news from Nintendo. For ESRB ratings go to http://esrb.org. "
Sweden,SE,23,151,UCdI8evszfZvyAl2UVCypkTA,MileyCyrusVEVO,9920000,7809037198,171,Unknown,Something Beautiful the album out now
