Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Singapore,SG,1,2,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,311000000,335650634349,25757,IN,"Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music.  For over thirty years, we’ve been more than a label. We’ve been listeners archeologists of emotion, digging in every corner of India, collecting stories and music in all forms told in all Indian languages.   And we believe that the language of the heart"
Singapore,SG,2,9,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,100000000,41756433903,666,KR,"BLACKPINK Official YouTube Channel 블랙핑크 공식 유튜브 채널입니다.  JISOO, JENNIE, ROSÉ, LISA 지수, 제니, 로제, 리사"
Singapore,SG,3,13,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,80400000,44459636885,3053,KR,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR, YX LABELS, HYBE x Geffen Records and more."
Singapore,SG,4,21,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,55200000,10521931307,170,US,New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!  MrBeast Gaming - SUBSCRIBE OR ELSE
Singapore,SG,5,22,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,51700000,7517476054,1821,US,Thank God👏🏽🙏🏽
Singapore,SG,6,26,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,43300000,25113856444,120,Unknown,"Bruno Mars is a 16x GRAMMY®-winning global superstar, singer, songwriter, multi-instrumentalist, producer, and one of the most-streamed artists in the world. Known for his showmanship and chart-toppers, Bruno has set a number of records throughout his career, including becoming the first artist ever to hit 150 million monthly listeners on Spotify, appearing on two of the fastest songs to reach one"
Singapore,SG,7,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Singapore,SG,8,34,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,33600000,33285907184,4677,Unknown,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.
Singapore,SG,9,35,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,33100000,11012070711,8930,US,"omw to the grand line 🏴‍☠️   About Netflix: Netflix is one of the world’s leading entertainment services offering TV series, films, games and live programming across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. "
Singapore,SG,10,37,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,31800000,26799490243,2707,Unknown,"JYPnation Official YouTube  Leader In Entertainment is the value and goal that JYP Entertainment constantly pursues. JYP Entertainment strives to become the leading company of the global entertainment industry.  Founded by Asia's renowned producer Jin Young Park, the company has developed successful global artists, including god, Rain, Wonder Girls, 2PM, 2AM, miss A, GOT7, TWICE, Stray Kids, ITZY,"
Singapore,SG,11,39,UCZSNzBgFub_WWil6TOTYwAg,Netflix India,28700000,15016243728,6764,IN,"About Netflix: Netflix is one of the world’s leading entertainment services offering TV series, films, games and live programming across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. "
Singapore,SG,12,42,UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,26000000,16859074352,2221,US,Official Vanoss Gaming YouTube Channel.
Singapore,SG,13,52,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,24000000,4432860037,405,FI,Fast-paced 3v3 multiplayer and battle royale made for mobile! 🔥   Play with friends or solo across a variety of game modes in under three minutes. 
Singapore,SG,14,57,UCwppdrjsBPAZg5_cUwQjfMQ,Charlie Puth,23100000,12595074120,186,US,
Singapore,SG,15,60,UCLbdVvreihwZRL6kwuEUYsA,Think Music India,22200000,21843228813,6914,IN,About Think Music - Official Channel  The official YouTube channel of Think Music.   
Singapore,SG,16,63,UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,21300000,20729278314,5420,IN,"Sony Music South – Official Channel 🎶 Welcome to the official YouTube home of Sony Music Entertainment India, your one-stop destination for the latest and greatest music videos in Tamil, Telugu, and Kannada! From heartwarming love songs to electrifying kuthu beats, we bring you the most popular hits, new releases, and evergreen favorites from South India’s vibrant music scene. Whether you're vibin"
