Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Thailand,TH,1,10,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,83300000,27176655244,2984,Unknown,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.
Thailand,TH,2,21,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,55200000,10521931307,170,US,New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!  MrBeast Gaming - SUBSCRIBE OR ELSE
Thailand,TH,3,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Thailand,TH,4,34,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,33600000,33285907184,4677,Unknown,Welcome to SM Entertainment Official YouTube Channel! You can enjoy SM artist's latest videos on SMTOWN Official YouTube Channel.
Thailand,TH,5,37,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,31800000,26799490243,2707,Unknown,"JYPnation Official YouTube  Leader In Entertainment is the value and goal that JYP Entertainment constantly pursues. JYP Entertainment strives to become the leading company of the global entertainment industry.  Founded by Asia's renowned producer Jin Young Park, the company has developed successful global artists, including god, Rain, Wonder Girls, 2PM, 2AM, miss A, GOT7, TWICE, Stray Kids, ITZY,"
Thailand,TH,6,62,UC5zGJZpxeZPFcds5gFcDE7Q,zbing z.,21500000,12533586180,4685,TH,"Contact Me :: pan.g@live.com ติดตามแป้งได้ที่ https://www.facebook.com/zbingzee   ::: สนใจติดต่อโฆษณาหรือสปอนเซอร์ ::: ผู้จัดการ Tel: ส้ม - 0966915493 Email: os.influencer@truedigital.com  เริ่มทำคลิปครั้งเเรก 2 เม.ย. 2014 100,000       |  13.04.2015 1,000,000    |  23.03.2016 2,000,000    |  3.10.2016   time 22.22 pm. 2,500,000    |  1.01.2017 3,000,000    |  26.03.2017 4,000,000    |  4.10.2017 "
Thailand,TH,7,82,UCs2t9DlvAuyTBkvk2djGZKw,Genierock,17100000,18225165609,2436,TH,"genie records ถือกำเนิดในวันที่ 1 มกราคม ปี 2541 ด้วยมุมมองแบบ ""Music Lover"" และด้วยความคิดที่ว่า...ดนตรีในโลกนี้มีรูปแบบมากมาย ควรที่จะมีทางเลือกให้กับนักฟังเพลงอย่างเปิดกว้าง เราให้คำนิยามตัวเองว่า ""genie is chance""  พร้อมเปิดโอกาสให้ทุกคนนำเสนอผลงาน แล้วเราก็พบว่าคนเก่งมีอยู่เต็มประเทศ   แม้วันนี้ genie จะอุดมไปด้วยวงดนตรีร็อคฝีมือดีมีคุณภาพ แต่นั่นไม่ได้หมายความว่าเราเป็นแค่...สังกัดเพลงร็อค เ"
Thailand,TH,8,130,UC-Bc-4nV2-Tk4Af2rqrmrjA,HomeAnimations - Мультики про танки,11600000,6483375192,1448,RU,"Мультики про танки и не только !  Новые мультики каждую неделю! по ПОНЕДЕЛЬНИКАМ , СРЕДАМ И ПЯТНИЦАМ ! Поддержите проект: лайк и подписка будут лучшим стимулом для развития !  Цели  Нас 5000 - 22.04.17                   Нас 10000 - 18.08.17                 Нас 20000 - 13.11.17                     Нас 25000 - 05.12.17                     Нас 50000 - 10.02.18                     Нас 75000 - 23.03.18"
Thailand,TH,9,162,UC4plRabXFGdAE6HP-tBQKdQ,HEARTROCKER,9580000,4059655404,3211,TH,"ยินดีต้อนรับทุกท่านครับ ;) ช่องสำหรับคอเกม และผู้ที่อยากได้รอยยิ้ม  I have never sent an email regarding request for game code from any providers. As of now, there has been many cases in which people have been impersonating me, requesting for game access keys. I highly advise you not to trust those faux email addresses as my only email that is available for contact is heartrockerfantasy@gmail.com"
Thailand,TH,10,164,UCzyeq_iKmrFTBQ0kzNSqMtg,PojzPlaza,9500000,2598868040,3064,TH,ติดต่องานทางอีเมล์เท่านั้น  
Thailand,TH,11,180,UChjKDMnMMG6iZY3twuuS2zg,PRIMKUNG,8530000,2519241242,3009,TH,โย่ว !! ปริมคุง  FB :: https://www.facebook.com/CH.primkung/ IG :: https://www.instagram.com/primkung.haha/ TikTok :: https://www.tiktok.com/@primkung.official 
