Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Turkey,TR,1,10,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,83300000,27176655244,2984,Unknown,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.
Turkey,TR,2,21,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,55200000,10521931307,170,US,New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!  MrBeast Gaming - SUBSCRIBE OR ELSE
Turkey,TR,3,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Turkey,TR,4,41,UCR5wZcXtOUka8jTA57flzMg,netd müzik,27000000,50319344327,19584,TR,"netd müzik, anlaşmalı müzik yapım firmalarından sağladığı, Türkçe pop müzikten alternatif müziğe kadar çeşitli tarzlardaki müzik kliplerinin resmi yayın platformudur."
Turkey,TR,5,129,UC_F8DoJf9MZogEOU51TpTbQ,Clash Royale,11700000,2694248553,870,Unknown,"Clash Royale is a real-time, head-to-head battle game set in the Clash Universe. Welcome to the Arena!"
Turkey,TR,6,217,UC2XbMXD6jSrixkpgs7vHFUA,Minecraft Parodileri,7510000,7128571029,2558,TR,"Merhaba, Minecraft'ı seviyorsun, değil mi? O zaman her gün attığım Minecraft videolarını ve her yaştan insanın izleyebileceği aksiyon dolu macerayı kaçırmayın 😊 Hadi abone olun! Birlikte daha iyi olacağız ❤  Minecraft Parodileri kanalının tek resmi sahibi: İlker Kaya. TikTok’ta sahte hesaplara karşı bu açıklama eklenmiştir. Tek gerçek Tiktok Hesabım : ""mcparodileri"" hesabıdır. Başka hesabım yoktur"
Turkey,TR,7,239,UCV_CsAy5CNBX_uwDQ7RMe1Q,Central Cee,6700000,2440189843,92,GB,Central Cee - Official youtube channel. Subscribe
Turkey,TR,8,245,UCKizsKkBBjuEoY_fgRx-4QQ,Ferited,6520000,4960452319,3641,TR,"Merhaba, ben namıdeğer feritet yani Ferited. Bu kanalda Türkçe dilinde yetişkin bireyler için hazırlanmış Ferited VS Tarık konulu eğlenceli Minecraft parodileri videoları bulabilirsiniz. Kanalımın en sevilen serilerinden biri olan Zengin VS Fakir Hayatını ve onların Minecraft Maceralarını lütfen izlemeyi unutmayın. Videolarımı beğendiyseniz ""like"" atabilirsiniz. Ayrıca kanalımızı takip ederseniz ç"
Turkey,TR,9,318,UCCmDxZyqH2pdVQ7HkHnjD3Q,Barış G,5070000,1829085380,2701,TR,Merhaba ben Barış Can. Kıbrıs'lıyım. Elimden geldiği kadarıyla sizleri eğlendirmeye ve oyunlardaki tecrübelerimi aktarmaya çalışıyorum. Umarım kanalım hoşunuza gider :) Bu benim PUBG & PUBG Mobile kanalım. Diğer kanallarımı da ekranda görebilirsiniz. İletişim : barisg@s2gespor.com
Turkey,TR,10,339,UCazpvRS7wM8k1ItMd-EgCKw,SeseGel,4840000,3250309366,3453,TR,"Sese doğru gelin gençler! Adım HASAN MUSTAN. Severek oynadığım oyunları sizinle paylaşıyorum. Sadece oyun değil, eğlence içerikli videolarımız da var. Unutmadan! Sesegel Çocuk kanalımıza da mutlaka bakın derim:) KANAL BİLGİLERİ: 16 Eylül 2015 tarihinde saat 00:00'da ilk video aktif oldu ve kanalımız duyuruldu. 22 Aralık ► 50.000 aboneyi geçtik.3.451.927 görüntüleme 20 MART 2016►100.818 abone • 10."
Turkey,TR,11,368,UCz8lelVfalizvMb2bHQjDvg,TÜRKPRO,4510000,2820464725,3320,TR,"Merhabalar Videolarimi küfürsüz ve saygi iceriginde tutmak icin elimden geleni yapiyorum. Kanalimda GTA 5 agirlikli videolar atiyorum, kanalima yada daha dogrusu oyun dünyama hosgeldiniz. "
