Search Country,Country Code,Country Rank,Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description
Vietnam,VN,1,13,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,80400000,44459636885,3053,KR,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR, YX LABELS, HYBE x Geffen Records and more."
Vietnam,VN,2,21,UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,55200000,10521931307,170,US,New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!  MrBeast Gaming - SUBSCRIBE OR ELSE
Vietnam,VN,3,33,UCTkXRDQl0luXxVQrRQvWS6w,Dream,34100000,4234149855,287,US,"I am DREAM. I like playing games, streaming, coding, and making videos with my FRIENDS!"
Vietnam,VN,4,37,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,31800000,26799490243,2707,Unknown,"JYPnation Official YouTube  Leader In Entertainment is the value and goal that JYP Entertainment constantly pursues. JYP Entertainment strives to become the leading company of the global entertainment industry.  Founded by Asia's renowned producer Jin Young Park, the company has developed successful global artists, including god, Rain, Wonder Girls, 2PM, 2AM, miss A, GOT7, TWICE, Stray Kids, ITZY,"
Vietnam,VN,5,130,UC-Bc-4nV2-Tk4Af2rqrmrjA,HomeAnimations - Мультики про танки,11600000,6483375192,1448,RU,"Мультики про танки и не только !  Новые мультики каждую неделю! по ПОНЕДЕЛЬНИКАМ , СРЕДАМ И ПЯТНИЦАМ ! Поддержите проект: лайк и подписка будут лучшим стимулом для развития !  Цели  Нас 5000 - 22.04.17                   Нас 10000 - 18.08.17                 Нас 20000 - 13.11.17                     Нас 25000 - 05.12.17                     Нас 50000 - 10.02.18                     Нас 75000 - 23.03.18"
Vietnam,VN,6,194,UCA_23dkEYToAc37hjSsCnXA,MixiGaming,8220000,4241786246,3752,VN,"- Mình là Độ -   - Thỉnh thoảng rảnh chó ko có gì làm mình hay edit clip vui, tất cả đều do team mình chơi tự nhiên, trong clip có khá nhiều từ ngữ bậy bạ nên các bạn lưu ý xung quanh trước khi xem -    - Hãy like, share, và subcribe nếu bạn thấy clip hay để mình có động lực ra mắt các sản phẩm tiếp theo :3 cám ơn tất cả các bạn đã quan tâm, theo dõi - "
Vietnam,VN,7,206,UCtr3boXbtzcDAzY9b6M25NA,SlenderMan™,7790000,6942973740,3724,VN,Mình chơi Minecraft Pocket Edition
Vietnam,VN,8,243,UCtT5uP2WIGxyP0MYCC_ZHtQ,Oops Hiha,6550000,4134111999,2855,VN,"XIN CHÀO! TÔI LÀ HIHA LÀ TRƯỞNG TEAM SINH TỐ TEAM , MONG CÁC BẠN ỦNG HỘ TÔI HIHI . Facebook cá nhân của Hiha : https://www.facebook.com/HihaChobi Fanpage : https://www.facebook.com/HihaDauHong/ - Liên hệ hợp tác và quảng cáo :  Gmail : partners@kydstudio.com  "
Vietnam,VN,9,260,UCh2lo0AEEMkJ3LO4dldfjGA,Mèo Simmy,6240000,2621489969,2073,VN,Mình là nữ Youtuber làm nhiều video về Game Mong mọi người thích những video của mình mãi keooo  Email liên hệ : ads.meosimmy25@gmail.com
Vietnam,VN,10,265,UC_xlDCBWQPlihORIZLWtpbA,Gamer Robot,6090000,429943755,171,DE,Official Blox Fruits Channel.  Official Blox Fruits Twitter▸ https://twitter.com/BloxFruits Channel is ran by Zioles▸ https://twitter.com/_Zioles  
Vietnam,VN,11,284,UCrS7tv883mVqv07HKgVuwAA,THVL Phim,5680000,5352761079,35897,VN,"Kênh YouTube THVL Phim chính thức của Truyền hình Vĩnh Long là kênh giới thiệu các trailer những phim truyền hình sắp lên sóng, video hậu trường thực hiện các bộ phim, cũng như các tập của các bộ phim có bản quyền của Truyền hình Vĩnh Long.   Báo và phát thanh, truyền hình Vĩnh Long Địa chỉ: Số 50, đường Phạm Thái Bường, phường Phước Hậu, tỉnh Vĩnh Long Điện thoại: 0270.3822345  Email : banbientap"
Vietnam,VN,12,295,UCpnQwjzvDm1MOMtZV2zkVpA,Liên Quân Mobile eSports-Garena,5570000,3312771775,12177,VN,
Vietnam,VN,13,348,UCwHsswGDpVWHPAC-ssScIwQ,Phong Cận Tv,4770000,2575461899,1312,VN,Phong Cận Tv Kênh mình chuyên về các loại game giải trí và sẽ có cả những video vlogs Chơi game theo yêu cầu : hãy bình luận cho mình biết đừng quên đăng kí kênh vì đó là động lực cho mình làm thêm nhiều video hay hơn :  https://www.youtube.com/channel/UCwHsswGDpVWHPAC-ssScIwQ?view_as=subscriber facebook : https://www.facebook.com/phongcantv4321
Vietnam,VN,14,351,UCWEYgC77_ZlbDxStQyzOwfA,Hiếu Organ,4740000,5860396983,4918,Unknown,"Chào mừng quý vị đến với Trọng Hiếu - Hiếu Organ 🔊 Hiếu Organ là kênh karaoke nhạc sống độc quyền phát hành những ca khúc Karaoke mới nhất  gồm nhiều thể loại khác nhau.  🔊 Bấm Theo dõi kênh để được Thông Báo khi có sản phẩm mới nha các bạn. 🔊 Nhận làm Beat Karaoke Và Nhạc Hòa Tấu Không Lời, Giá Yêu Thương 🔊 Hợp Tác Quảng Cáo Xin Liên Hệ 🔊 Gmail: admin@hieuorgan.vn  "
Vietnam,VN,15,361,UCGTSdDZzdG7QtojmzPKQlsw,JayGrayVN,4590000,1801897533,2799,VN,"😄 Chào mừng các bạn đã đến với kênh JayGray nha ! Trong channel này mình sẽ cùng các bạn trải nghiệm những thứ mới lạ và thú vị trong tựa game Minecraft mỗi ngày để giúp các bạn thư giãn cũng như giải trí sau một ngày mệt mỏi nhé !! --------------------------------------------------------------------------- 🌈 Liên hệ tài trợ, quảng cáo, hợp tác:  ✅ FACEBOOK: https://www.facebook.com/JayGrayVN/ ✅ E"
Vietnam,VN,16,391,UCshA0rciz2K3O0EezIpu03A,bqThanh,4280000,3317036527,1875,VN,"bqThành Official channel  Kênh chơi và bình luận game hài hước !  Mang lại cho các bạn những phút giải trí sau một ngày học tập và làm việc mệt mỏi.  Bấm ""Đăng kí"" ngay để không bỏ lỡ Video nào !!!..."
Vietnam,VN,17,396,UCzMBzlAt1y6cPKCOD_u2hfw,DOKTOR LIGHT,4240000,937486714,1108,DE,Ich bin Doktor Light und habe meine Promotion mit summa cum laude abgeschlossen.  IMPRESSUM Doktor Light c/o Water GmbH Adolf-Silverberg-Str. 37a 50181 Bedburg Deutschland  Kontakt (geschäftliche Anfragen/business inquiries):  E-Mail: doktorlight@water.koeln Tel.: ‪+49 221 42918050‬  Geschäftsführer: Jakob Rogalski Us-IdNr.: DE308432918 
Vietnam,VN,18,402,UCDhxPj5HsdH-jn7rUx6A2yg,Toga TV,4180000,2681987707,1421,VN,Đây chính là kênh mới của Tô Gà TV nha mọi người!  ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬  🎬 ĐĂNG KÝ TÔ GÀ TV ►: shorturl.at/kpQS0 📰 FACEBOOK FANPAGE ►: shorturl.at/wyGTX 📰 Liên hệ hợp tác và quảng cáo  ► Gmail : partners@kydstudio.com ► Facebook : https://www.facebook.com/ngoc.hiep.77377 
Vietnam,VN,19,427,UCqNW5fsJjgHvGSyidejM3zg,Sammy Đào,3900000,1397988352,1542,VN,"hello mọi người mình là Sammy Đào đây  Kênh này mình sẽ đăng những video Minecraft hoặc Mini World Cùng với simmy  Cảm ơn mọi người đã ghé kênh này, Mong mọi người ủng hộ Sammy nhé iu mọi người"
Vietnam,VN,20,453,UCA3FSL2BxktwLHmlWkdmc4A,Siro Official,3630000,1116637929,1987,VN,"Call me Siro, Tộc Trưởng tộc Sói =]] Contact: sirocontact24@gmail.com"
Vietnam,VN,21,471,UC6z0Om94_hM-H_UED2LA0YQ,ACV Entertainment,3430000,1647109173,1841,VN,"ACV Entertainment là công ty sản xuất và truyền thông âm nhạc, hoạt động ở các lĩnh vực quản lý và đào tạo tài năng âm nhạc, sản xuất và quảng bá sản phẩm âm nhạc… Chúng tôi tự hào là một đội ngũ chuyên nghiệp, một đối tác tin cậy, có những bước tiến lớn trên thị trường âm nhạc Việt Nam.  ► Contact: cuongacvmusic90@gmail.com ► Booking / Tác Quyền: 0968.191.333 ( Mr. Nghĩa) ► Mail: bookingacv@gmail"
