Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description,Views per Subscriber,Views per Video,Subscribers (M),Views (B),Tier
1,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,474000000,116005659874,956,US,"SUBSCRIBE FOR A COOKIE! New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time! Accomplishments: - Raised $20,000,000 To Plant 20,000,000 Trees - Removed 30,000,000 pounds of trash from the ocean - Helped 2,000 people walk again - Helped 1,000 blind people see - Helped 1,000 deaf people hear - Built wells in Africa - Built and gave away 100 houses - Adopted every dog in a s",244.74,121344833.0,474.0,116.006,🔴 100M+
2,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,311000000,335650634349,25757,IN,"Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music.  For over thirty years, we’ve been more than a label. We’ve been listeners archeologists of emotion, digging in every corner of India, collecting stories and music in all forms told in all Indian languages.   And we believe that the language of the heart",1079.26,13031434.0,311.0,335.651,🔴 100M+
3,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,188000000,187185678767,168366,IN,"Sony Entertainment Television is one of the leading Hindi General Entertainment channels in India. Since its launch in October 1995, SET has created a unique space, in television programming, with movie premieres, fiction & non–fiction shows. The Kapil Sharma Show, Shark Tank India, Kaun Banega Crorepati, Indian Idol, Bade Achhe Lagte Hain, Adaalat, CID, Crime Patrol and Super Dancer are some of t",995.67,1111778.0,188.0,187.186,🔴 100M+
4,UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,149000000,120113700862,1005,US,"“Vlad & Niki” is the global preschool phenomenon and highest rated kids channel on YouTube starring the imaginative personalities and antics of brothers Vlad and Niki, who are showcased in non-stop fun and crazy adventures. Since launching on YouTube in 2018, the “Vlad & Niki” has attracted more than 456+ million subscribers worldwide and 248+ billion views, while averaging five billion monthly vi",806.13,119516120.0,149.0,120.114,🔴 100M+
5,UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,138000000,123546449303,1589,US,"Welcome to Diana and Roma world - where Diana, Roma, little Oliver and their parents play, learn, sing, explore and share their life experiences. Millions of kids and families from all over the world join Diana and Roma every day to explore the world and learn about songs, numbers, nature, colors, shapes, animals, and the importance of eating healthy food, washing hands, being a good friend, and m",895.26,77751069.0,138.0,123.546,🔴 100M+
6,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,122000000,86968226392,15963,IN,"Zee Music Company is part of India's leading television media and entertainment companies. It is amongst the largest producers and aggregators of Hindi programming in the world, with an extensive library housing over 222,000 hours of television content along with a strong presence in over 171 countries and a total viewership of 1 Billion plus people around the globe. Our Library has rights to more",712.85,5448113.0,122.0,86.968,🔴 100M+
7,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,112000000,102928887597,92131,Unknown,"WWE on YouTube is your number one spot to catch WWE original shows and exclusives!  Watch videos from all of your favorite WWE Superstars, backstage fallout from live shows including Raw, SmackDown, NXT and original shows such as Top 10, WWE Playlist, Superstar Playback and much more!   Subscribe - https://goo.gl/2YO0Is  Where to watch WWE: https://wwe.com/wheretowatch  Watch WWE on Netflix: http:",919.01,1117201.0,112.0,102.929,🔴 100M+
8,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29485216055,4660,JP,I make videos.,268.05,6327300.0,110.0,29.485,🔴 100M+
9,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,100000000,41756433903,666,KR,"BLACKPINK Official YouTube Channel 블랙핑크 공식 유튜브 채널입니다.  JISOO, JENNIE, ROSÉ, LISA 지수, 제니, 로제, 리사",417.56,62697348.0,100.0,41.756,🔴 100M+
10,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,83300000,27176655244,2984,Unknown,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.,326.25,9107458.0,83.3,27.177,🟠 50–100M
11,UCaayLD9i5x4MmIoVZxXSv_g,T-Series Bhakti Sagar,81800000,46749098033,31955,IN,"“Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music. For over thirty years, we’ve been more than a label. We’ve been listeners archeologists of emotion, digging in every corner of India, collecting stories and music in all forms told in all Indian languages. And we believe that the language of the heart d",571.5,1462967.0,81.8,46.749,🟠 50–100M
12,UCJrDMFOdv1I2k8n9oK_V21w,Tips Official,81000000,54659121700,9565,IN,"The proud history of Tips Music Limited (Formerly Known as Tips Industries Limited) stretches back over four decades ago, it was founded by Kumar S. Taurani and Ramesh S. Taurani in 1975. Its distributors serve more than 1,000 wholesalers and 400,000 retailers across India. A treat for every music lover and Bollywood connoisseur! Chart-buster songs from super-hit movies like Dil Hai Tumhara, Ramai",674.8,5714493.0,81.0,54.659,🟠 50–100M
13,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,80400000,44459636885,3053,KR,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR, YX LABELS, HYBE x Geffen Records and more.",552.98,14562606.0,80.4,44.46,🟠 50–100M
14,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,74700000,16166939086,251,US,"Former NASA engineer. Current CrunchLabs founder and friend of science.  Answers to some common questions:  1) I make a monthly toy we build together on a video, that gets delivered to your house that teaches you to think like an engineer.  Check it out at- https://crunchlabs.com 2) I studied Mechanical Engineering in School.  I did my undergrad at BYU and Masters at USC. 3) I worked for NASA JPL ",216.42,64410116.0,74.7,16.167,🟠 50–100M
